	Tax Effect Of Unusual Items	Tax Rate For Calcs	Normalized EBITDA	Net Income From Continuing Operation Net Minority Interest	Reconciled Depreciation	Reconciled Cost Of Revenue	EBITDA	EBIT	Normalized Income	Net Income From Continuing And Discontinued Operation	Total Expenses	Total Operating Income As Reported	Diluted Average Shares	Basic Average Shares	Diluted EPS	Basic EPS	Diluted NI Availto Com Stockholders	Net Income Common Stockholders	Net Income	Net Income Including Noncontrolling Interests	Net Income Continuous Operations	Tax Provision	Pretax Income	Other Income Expense	Other Non Operating Income Expenses	Operating Income	Operating Expense	Research And Development	Selling General And Administration	Gross Profit	Cost Of Revenue	Total Revenue	Operating Revenue	Ordinary Shares Number	Share Issued	Net Debt	Total Debt	Tangible Book Value	Invested Capital	Working Capital	Net Tangible Assets	Common Stock Equity	Total Capitalization	Total Equity Gross Minority Interest	Stockholders Equity	Gains Losses Not Affecting Retained Earnings	Other Equity Adjustments	Retained Earnings	Capital Stock	Common Stock	Total Liabilities Net Minority Interest	Total Non Current Liabilities Net Minority Interest	Other Non Current Liabilities	Long Term Debt And Capital Lease Obligation	Long Term Debt	Current Liabilities	Other Current Liabilities	Current Deferred Liabilities	Current Deferred Revenue	Current Debt And Capital Lease Obligation	Current Debt	Other Current Borrowings	Commercial Paper	Payables And Accrued Expenses	Current Accrued Expenses	Payables	Total Tax Payable	Income Tax Payable	Accounts Payable	Total Assets	Total Non Current Assets	Other Non Current Assets	Non Current Deferred Assets	Non Current Deferred Taxes Assets	Investments And Advances	Investmentin Financial Assets	Available For Sale Securities	Goodwill And Other Intangible Assets	Net PPE	Accumulated Depreciation	Gross PPE	Leases	Machinery Furniture Equipment	Land And Improvements	Properties	Current Assets	Other Current Assets	Inventory	Finished Goods	Raw Materials	Receivables	Other Receivables	Accounts Receivable	Cash Cash Equivalents And Short Term Investments	Other Short Term Investments	Cash And Cash Equivalents	Cash Equivalents	Cash Financial	Free Cash Flow	Repurchase Of Capital Stock	Repayment Of Debt	Issuance Of Debt	Capital Expenditure	Income Tax Paid Supplemental Data	End Cash Position	Beginning Cash Position	Changes In Cash	Financing Cash Flow	Cash Flow From Continuing Financing Activities	Net Other Financing Charges	Cash Dividends Paid	Common Stock Dividend Paid	Net Common Stock Issuance	Common Stock Payments	Net Issuance Payments Of Debt	Net Short Term Debt Issuance	Short Term Debt Payments	Net Long Term Debt Issuance	Long Term Debt Payments	Long Term Debt Issuance	Investing Cash Flow	Cash Flow From Continuing Investing Activities	Net Other Investing Changes	Net Investment Purchase And Sale	Sale Of Investment	Purchase Of Investment	Net PPE Purchase And Sale	Purchase Of PPE	Operating Cash Flow	Cash Flow From Continuing Operating Activities	Change In Working Capital	Change In Other Current Liabilities	Change In Other Current Assets	Change In Payables And Accrued Expense	Change In Payable	Change In Account Payable	Change In Inventory	Change In Receivables	Changes In Account Receivables	Other Non Cash Items	Stock Based Compensation	Depreciation Amortization Depletion	Depreciation And Amortization	Net Income From Continuing Operations	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome	totalAssets	totalCurrentAssets	cashAndCashEquivalentsAtCarryingValue	cashAndShortTermInvestments	inventory	currentNetReceivables	totalNonCurrentAssets	propertyPlantEquipment	accumulatedDepreciationAmortizationPPE	intangibleAssets	intangibleAssetsExcludingGoodwill	goodwill	investments	longTermInvestments	shortTermInvestments	otherCurrentAssets	otherNonCurrentAssets	totalLiabilities	totalCurrentLiabilities	currentAccountsPayable	deferredRevenue	currentDebt	shortTermDebt	totalNonCurrentLiabilities	capitalLeaseObligations	longTermDebt	currentLongTermDebt	longTermDebtNoncurrent	shortLongTermDebtTotal	otherCurrentLiabilities	otherNonCurrentLiabilities	totalShareholderEquity	treasuryStock	retainedEarnings	commonStock	commonStockSharesOutstanding	operatingCashflow	paymentsForOperatingActivities	proceedsFromOperatingActivities	changeInOperatingLiabilities	changeInOperatingAssets	depreciationDepletionAndAmortization	capitalExpenditures	changeInReceivables	changeInInventory	profitLoss	cashflowFromInvestment	cashflowFromFinancing	proceedsFromRepaymentsOfShortTermDebt	paymentsForRepurchaseOfCommonStock	paymentsForRepurchaseOfEquity	paymentsForRepurchaseOfPreferredStock	dividendPayout	dividendPayoutCommonStock	dividendPayoutPreferredStock	proceedsFromIssuanceOfCommonStock	proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet	proceedsFromIssuanceOfPreferredStock	proceedsFromRepurchaseOfEquity	proceedsFromSaleOfTreasuryStock	stockBasedCompensation	changeInCashAndCashEquivalents	changeInExchangeRate
2015-03-31																																																																																																																																																		23656000000	58010000000	34354000000	34354000000	18278000000	3460000000	1918000000	5378000000				163000000.0		286000000.0		2479000000	18564000000	4995000000		13569000000		18727000000	21206000000	13569000000	261194000000	62750000000	14489000000	14489000000	2396000000	18164000000	193303000000	20151000000.0		4061000000.0	4061000000.0	4711000000.0		160443000000.0	18607000000	9094000000		132188000000	58729000000	23159000000			3799000000.0	73459000000		40072000000.0			43871000000.0	22827000000	29816000000.0	129006000000	0.0	100920000000	25376000000	23339432000	19081000000					2479000000	2476000000	11812000000.0	-113000000		-22331000000	-1739000000					2743000000.0	2743000000.0					-6970000000		927000000.0	-4989000000.0	
2014-12-31																																																																																																																																																		29741000000	74599000000	44858000000	44858000000	24246000000	3600000000	1895000000	5495000000				131000000.0		170000000.0		2575000000	24416000000	6392000000		18024000000		24547000000	27122000000	18024000000	261894000000	78357000000	19478000000	19478000000	2283000000	29976000000	178491000000	20392000000.0		4370000000.0	4370000000.0	4629000000.0		145492000000.0	12985000000	13635000000		138566000000	73611000000	38001000000			3899000000.0	64955000000		32504000000.0			36403000000.0	22724000000	28971000000.0	123328000000	0.0	97178000000	24187000000	23527212000	33722000000					2575000000	3265000000	-2757000000.0	-172000000		-21165000000	-6923000000					2801000000.0	2801000000.0					-5030000000		888000000.0	5634000000.0	
2014-09-30																																																																																																																																																		16009000000	42123000000	26114000000	26114000000	11165000000	1958000000	1686000000	4844000000				115000000.0		307000000.0		1969000000	11472000000	3005000000		8467000000		11587000000	13556000000	8467000000	231839000000	64213000000	13844000000	13844000000	2111000000	27219000000	163308000000	20624000000.0		4142000000.0	4142000000.0	4616000000.0		130162000000.0	11233000000	9806000000		120292000000	63448000000	30196000000			6308000000.0	56844000000		28987000000.0	35295000000.0		35295000000.0	18453000000	24826000000.0	111547000000	0.0	87152000000	23313000000	23888328000	13250000000					1969000000	3852000000	-10252000000.0	-246000000		2997000000	-15380000000					2829000000.0	2829000000.0					-17000000000		762000000.0	867000000.0	
2014-06-30																																																																																																																																																		14735000000	37432000000	22697000000	22697000000	10282000000	2850000000	1603000000	4453000000				100000000.0		202000000.0		1946000000	10484000000	2736000000		7748000000		10584000000	12530000000	7748000000	222520000000	64065000000	12977000000	12977000000	1594000000	16841000000	154571000000	17585000000.0		3767000000.0	3767000000.0	2374000000.0		126685000000.0	24828000000	7825000000		101580000000	46205000000	20535000000			2010000000.0	55375000000		29030000000.0			31040000000.0	15264000000	23287000000.0	120940000000	0.0	98715000000	22139000000	24206844000	10255000000					1946000000	2431000000	-1020000000.0	235000000		-22214000000	5987000000					2867000000.0	2867000000.0					-5000000000		724000000.0	-5972000000.0	
2014-03-31																																																																																																																																																		17947000000	45646000000	27699000000	27699000000	13593000000	2932000000	1422000000	4354000000				85000000.0		225000000.0		1887000000	13818000000	3595000000		10223000000		13903000000	15790000000	10223000000	205989000000	66527000000	18949000000	18949000000	1829000000	15820000000	135448000000	15120000000.0		3928000000.0	3928000000.0	2055000000.0		109239000000.0	22401000000	7528000000		85810000000	43208000000	18914000000			10056000000.0	42602000000		16962000000.0			16962000000.0	15984000000	22476000000.0	120179000000	0.0	98934000000	21496000000	24626784000	13538000000					1887000000	1486000000	9377000000.0	293000000		11741000000	-20407000000					2661000000.0	2661000000.0					-17971000000		696000000.0	4872000000.0	
2013-12-31																																																																																																																																																		21846000000	57594000000	35748000000	35748000000	17463000000	3053000000	1330000000	4383000000				84000000.0		246000000.0		2144000000	17709000000	4637000000		13072000000		17793000000	19937000000	13072000000	225184000000	76605000000	14077000000	14077000000	2122000000	25198000000	144837000000	15488000000.0		4105000000.0	4105000000.0	2022000000.0		118131000000.0	26634000000	8574000000		95500000000	53769000000	29588000000			9683000000.0	41731000000		16961000000.0			16961000000.0	15824000000	21699000000.0	129684000000	0.0	109431000000	20559000000	25240656000	22670000000					2144000000	2044000000	-4557000000.0	-358000000		-15103000000	-7749000000					2769000000.0	2769000000.0					-5029000000		681000000.0	-182000000.0	
2013-09-30																																																																																																																																																		13871000000	37472000000	23601000000	23601000000	10030000000	9730000000	1168000000	3841000000				83000000.0		113000000.0		1783000000	10143000000	2631000000		7512000000		10226000000	12009000000	7512000000	207000000000	69833000000	14259000000	14259000000	1764000000	20641000000	133714000000	16597000000.0		4179000000.0	4179000000.0	1577000000.0		106215000000.0	26287000000	6882000000		83451000000	43658000000	22367000000			7679000000.0	39793000000		16960000000.0			16960000000.0	13856000000	20208000000.0	123549000000	0.0	104256000000	19764000000	25455668000	9908000000					1783000000	2306000000	-7188000000.0	-67000000		611000000	-7508000000					2769000000.0	2769000000.0					-4910000000		555000000.0	3011000000.0	
2013-06-30																																																																																																																																																		13024000000	35323000000	22299000000	22299000000	9201000000	2645000000	1178000000	3823000000				53000000.0		234000000.0		1694000000	9435000000	2535000000		6900000000		9488000000	11182000000	6900000000	199856000000	65026000000	11248000000	11248000000	1697000000	13453000000	131637000000	16327000000.0		4353000000.0	4353000000.0	1522000000.0		104014000000.0	31358000000	7270000000		76502000000	36319000000	15516000000			7420000000.0	40183000000		16958000000.0			16958000000.0	13470000000	20553000000.0	123354000000	0.0	104564000000	19024000000	25879420000	7828000000					1694000000	2016000000	-117000000.0	-452000000		-6507000000	-2126000000					2811000000.0	2811000000.0					-16000000000		578000000.0	-805000000.0	
2013-03-31																																																																																																																																																		16349000000	43603000000	27254000000	27254000000	12558000000	2672000000	1119000000	3791000000				347000000.0		347000000.0		1692000000	12905000000	3358000000		9547000000		12905000000	14597000000	9547000000	194743000000	60095000000	12053000000	12053000000	1245000000	13336000000	131406000000	15026000000.0		4136000000.0	4136000000.0	1400000000.0		105550000000.0	27084000000	6377000000		59253000000	35508000000	14912000000			7629000000.0	23745000000		0.0				13331000000	20868000000.0	135490000000	0.0	116572000000	17954000000	26488980000	12504000000					1692000000	2299000000	8198000000.0	210000000		-14357000000	-2248000000					2491000000.0	2491000000.0					-54000000		575000000.0	-4101000000.0	
2012-12-31																																																																																																																																																		21060000000	54512000000	33452000000	33452000000	17210000000	2840000000	1010000000	3850000000				462000000.0		462000000.0		1588000000	17672000000	4594000000		13078000000		17672000000	19260000000	13078000000	196088000000	69453000000	16154000000	16154000000	1455000000	21534000000	123740000000	15422000000.0		4462000000.0	4462000000.0	1381000000.0		97292000000.0	23666000000	6644000000		68742000000	46879000000	26398000000			7461000000.0	21863000000		0.0				13207000000	18925000000.0	127346000000	0.0	109567000000	17167000000	26522076000	23426000000					1588000000	2455000000	-2842000000.0	-664000000		-13521000000	-4497000000					2493000000.0	2493000000.0					-1950000000		545000000.0	5408000000.0	
2012-09-30																																																																																																																																																		13871000000	37472000000	23601000000	23601000000	10030000000	1573000000	1168000000	3841000000				83000000.0		-51000000.0		1783000000	10143000000	2631000000		8223000000		10226000000	12009000000	7512000000	176064000000	55070000000	10746000000	10746000000	791000000	18692000000	118411000000	15452000000.0		4224000000.0	4224000000.0	1135000000.0		92122000000.0	18383000000	6458000000		57854000000	38542000000	21175000000			6310000000.0	19312000000		0.0				11414000000	16664000000.0	118210000000	0.0	101289000000	16422000000	26549208000	9136000000					981000000	3501000000	-4394000000.0	331000000		-4313000000	-2022000000					2488000000.0	2488000000.0					-81000000		448000000.0	2801000000.0	
2012-06-30																																																																																																																																																		14994000000	35023000000	20029000000	20029000000	11573000000	2545000000	876000000	3421000000				288000000.0		288000000.0		835000000	11861000000	3037000000		8824000000		11861000000	12696000000	8824000000	162896000000	49634000000	7945000000	7945000000	1122000000	14298000000	110953000000	10487000000.0		4329000000.0	4329000000.0	1132000000.0		89567000000.0	19709000000	6560000000		51150000000	33060000000	16808000000			5788000000.0	18090000000		0.0				10430000000	15560000000.0	111746000000	0.0	95641000000	15573000000	26517652000	10189000000					835000000	2963000000	-529000000.0	-20000000		-12310000000	-55000000											56000000		448000000.0	-2176000000.0	
2012-03-31																																																																																																																																																		18564000000	39186000000	20622000000	20622000000	15384000000	2339000000	841000000	3180000000				148000000.0		148000000.0		740000000	15532000000	3910000000		11622000000		15384000000	16124000000	11622000000	150934000000	48459000000	10121000000	10121000000	1102000000	13769000000	100222000000	8847000000.0		3604000000.0	3604000000.0	1141000000.0		81638000000.0	18417000000	5050000000		48436000000	32036000000	17011000000			5835000000.0	16400000000		0.0				9778000000	13954000000.0	102498000000	0.0	87124000000	14850000000	26457004000	13977000000					740000000	1509000000	2725000000.0	134000000		-14476000000	310000000											286000000		424000000.0	-189000000.0	
2011-12-31																																																																																																																																																		20703000000	46333000000	25630000000	25630000000	17340000000	2605000000	758000000	3363000000				137000000.0		137000000.0		721000000	17477000000	4413000000		13064000000		17340000000	18061000000	13064000000	138681000000	52834000000	10310000000	10310000000	1236000000	16484000000	83910000000	7816000000.0		3472000000.0	3472000000.0	896000000.0		67445000000.0	19846000000	4958000000		48627000000	34607000000	18221000000			6895000000.0	14020000000		0.0				11500000000	11833000000.0	90054000000	0.0	75709000000	13961000000	26364016000	17554000000					721000000	1429000000	-4767000000.0	-460000000		-17128000000	69000000											91000000		420000000.0	495000000.0	
2011-09-30																																																																																																																																																		11380000000	28270000000	16890000000	16890000000	8710000000	2025000000	645000000	2670000000				81000000.0		81000000.0		543000000	8791000000	2168000000		6623000000		8710000000	9253000000	6623000000	116371000000	42974000000	9815000000	9815000000	776000000	11717000000	71383000000	7777000000.0		3536000000.0	3536000000.0	896000000.0		55618000000.0	16137000000	4529000000		39756000000	27970000000	14632000000			5606000000.0	11786000000		0.0				9247000000	10100000000.0	76615000000	0.0	62841000000	13331000000	26306476000	10429000000					543000000	4571000000	-244000000.0	113000000		-13136000000	431000000											254000000		298000000.0	-2276000000.0	
2011-06-30																																																																																																																																																		11922000000	28571000000	16649000000	16649000000	9379000000	1915000000	628000000	2543000000				172000000.0		172000000.0		481000000	9551000000	2243000000		7308000000		9379000000	9860000000	7308000000	106758000000	45006000000	12091000000	12091000000	889000000	11471000000	59860000000	6749000000.0		1169000000.0	1169000000.0	741000000.0		47761000000.0	16304000000	4251000000		37415000000	26859000000	15270000000				10556000000		0.0				7597000000	9149000000.0	69343000000	0.0	56239000000	12715000000	26258680000	11108000000					481000000	962000000	-376000000.0	41000000		-15032000000	37000000											83000000		284000000.0	-3887000000.0	
2011-03-31																																																																																																																																																		10218000000	24667000000	14449000000	14449000000	7874000000	1763000000	581000000	2344000000				26000000.0		26000000.0		434000000	7900000000	1913000000		5987000000		7874000000	8308000000	5987000000	94904000000	45314000000	15978000000	15978000000	930000000	11095000000	47907000000	6241000000.0		507000000.0	507000000.0	741000000.0		36533000000.0	13256000000	4055000000		33427000000	24327000000	13714000000			4272000000.0	9100000000		0.0				7022000000	7870000000.0	61477000000	0.0	49025000000	12326000000	26206432000	6219000000					434000000	656000000	-221000000.0	-45000000		-1522000000	547000000											286000000		287000000.0	5244000000.0	
2010-12-31																																																																																																																																																		10298000000	26741000000	16443000000	16443000000	7827000000	1896000000	575000000	2471000000				136000000.0		136000000.0		356000000	7963000000	1959000000		6004000000		7827000000	8183000000	6004000000	86742000000	42203000000	10734000000	10734000000	885000000	10874000000	42815000000	5868000000.0		522000000.0	522000000.0	741000000.0		32730000000.0	16243000000	3467000000		32076000000	23795000000	14301000000			2769000000.0	8281000000		0.0				5953000000	7065000000.0	54666000000	0.0	43050000000	11502000000	26128312000	9773000000					356000000	1263000000	-950000000.0	166000000		-10729000000	429000000											208000000		299000000.0	-527000000.0	
2010-09-30																																																																																																																																																		7512000000	20343000000	12831000000	12831000000	5447000000	1571000000	494000000	2065000000				14000000.0		14000000.0		329000000	5461000000	1153000000		4308000000		5447000000	5776000000	4308000000	75183000000	40042000000	11261000000	11261000000	1051000000	9924000000	33505000000	4768000000.0		342000000.0	342000000.0	741000000.0		25391000000.0	14359000000	3447000000		27392000000	20722000000	12015000000			2466000000.0	6670000000		0.0				5723000000	5531000000.0	47791000000	0.0	37169000000	10668000000	26128312000	5683000000					329000000	813000000	-3525000000.0	-109000000		-4383000000	256000000											179000000		224000000.0	1556000000.0	
2010-06-30																																																																																																																																																		6136000000	15700000000	9564000000	9564000000	4234000000	1438000000	464000000	1902000000				58000000.0		58000000.0		273000000	4292000000	1039000000		3253000000		4234000000	4507000000	3253000000	64725000000	34817000000	9705000000	9705000000	942000000	6399000000	28692000000	3990000000.0		318000000.0	318000000.0	714000000.0		21551000000.0	14583000000	3188000000		21614000000	15612000000	8469000000			1927000000.0	6002000000		0.0				4452000000	4981000000.0	43111000000	0.0	32870000000	10133000000	25966108000	4801000000					273000000	626000000	-1817000000.0	-304000000		-5430000000	316000000											199000000		219000000.0	-313000000.0	
2010-03-31																																																																																																																																																		5625000000	13499000000	7874000000	7874000000	3979000000	1220000000	426000000	1646000000				266000000.0		50000000.0		216000000	4029000000	955000000		3074000000		3979000000	4195000000	3074000000	57057000000	31194000000	10018000000	10018000000	638000000	2886000000	24721000000	3504000000.0		263000000.0	263000000.0	480000000.0		18549000000.0	13137000000	4515000000		17709000000	12229000000	5666000000			1829000000.0	5480000000		0.0				4021000000	4539000000.0	39348000000	0.0	29670000000	9553000000	25840584000	2330000000					216000000	301000000	211000000.0	-62000000		-83000000	162000000											160000000		231000000.0	2409000000.0	
2009-12-31																																																																																																																																																		6411000000	15683000000	9272000000	9272000000	4725000000	1288000000	398000000	1686000000				33000000.0		33000000.0		209000000	4758000000	1380000000		3378000000		4725000000	4934000000	3378000000	53926000000	31920000000	7609000000	7609000000	576000000	4881000000	20594000000	3115000000.0		241000000.0	241000000.0	253000000.0		15024000000.0	17187000000	1667000000		18158000000	13097000000	6511000000			1713000000.0	5061000000		0.0				3996000000	4139000000.0	35768000000	0.0	26695000000	8962000000	25753924000	5781000000					209000000	381000000	271000000.0	-121000000		-3958000000	523000000											374000000		205000000.0	2346000000.0	
2009-09-30																																																																																																																																																		3614000000	9870000000	6256000000	6256000000	2193000000	1063000000	358000000	1421000000				45000000.0				197000000	2238000000	573000000		0		2193000000	2390000000	1665000000	53851000000	34164000000	5263000000	5263000000	455000000	3361000000	17586000000	2954000000.0		247000000.0	247000000.0	206000000.0		10528000000.0	18201000000	6884000000		26019000000	19282000000	5601000000			1948000000.0	6737000000		0.0				3376000000	3502000000.0	27832000000	0.0	19538000000	8210000000	25602472000	3110000000					197000000	472000000		-75000000		-3771000000	319000000											187000000		180000000.0	-342000000.0	
2009-06-30																																																																																																																																																		3983000000	9734000000	5751000000	5751000000	2632000000	1010000000	341000000	1351000000				236000000.0		60000000.0		182000000	2692000000	864000000		1229000000		2632000000	2814000000	1828000000	48140000000	33439000000	5605000000	5605000000	380000000	2686000000	12970000000	2653000000.0		259000000.0	259000000.0	207000000.0		6899000000.0	18617000000	6151000000		22252000000	16661000000	4854000000			1280000000.0	5591000000		0.0				3338000000	1924000000.0	25888000000	0.0	17878000000	7957000000	25456480000	2270000000					182000000	272000000		-68000000		-1339000000	208000000											166000000		179000000.0	1139000000.0	
2009-03-31																																																																																																																																																		3627000000	9084000000	5457000000	5457000000	2323000000	985000000	319000000	1304000000				63000000.0				181000000	2386000000	766000000		0		2323000000	2504000000	1620000000	43237000000	29307000000	4466000000	4466000000	312000000	3036000000	9384000000	2546000000.0		268000000.0	268000000.0	207000000.0			20547000000	946000000		18926000000	13751000000	3976000000			1275000000.0	5175000000						2761000000		24311000000		16653000000	7643000000	25283804000	841000000					181000000	116000000		84000000		-3685000000	74000000											45000000		181000000.0	-2770000000.0	
2008-12-31																																																																																																																																																		4507000000	11880000000	7373000000	7373000000	3101000000	1091000000	315000000	1406000000				158000000.0				168000000	3259000000	1004000000		0		3101000000	3269000000	2255000000	42787000000	33550000000	7236000000	7236000000	396000000	2196000000	7624000000	2580000000.0		277000000.0	277000000.0	207000000.0			18411000000	5311000000		19878000000	14757000000	4715000000			1390000000.0	5121000000						3807000000		22909000000		15448000000	7392000000	25241832000	3938000000					168000000	353000000		113000000		-8639000000	62000000											77000000		170000000.0	-4639000000.0	
2008-09-30																																																																																																																																																		2739000000	7895000000	5156000000	5156000000	1442000000	999000000	298000000	1297000000				140000000.0				134000000	1582000000	446000000		0		1442000000	1576000000	1136000000	39572000000	30837000000	11875000000	11875000000	509000000	4704000000	4882000000	2455000000.0		285000000.0	285000000.0	207000000.0			12615000000	1134000000		18542000000	14092000000	5520000000			2507000000.0	4450000000						3719000000		21030000000		13845000000	7177000000	25241832000	4295000000					134000000	422000000		36000000		-1993000000	200000000											9000000		141000000.0	2502000000.0	
2008-06-30																																																																																																																																																		2600000000	7464000000	4864000000	4864000000	1392000000	916000000	292000000	1208000000				118000000.0				117000000	1510000000	438000000		0		1392000000	1509000000	1072000000	31709000000	26324000000	9373000000	9373000000	545000000	3245000000	3711000000	2177000000.0		291000000.0	291000000.0	38000000.0			11401000000	1760000000		12087000000	9218000000	3683000000			1675000000.0	2869000000						2808000000		19622000000		12714000000	6831000000	25288676000	1321000000					117000000	330000000		-181000000		-1372000000	354000000											178000000		133000000.0	303000000.0	
2008-03-31																																																																																																																																																		2474000000	7512000000	5038000000	5038000000	1315000000	886000000	273000000	1159000000				162000000.0				116000000	1477000000	432000000		0		1315000000	1431000000	1045000000	30471000000	25127000000	9070000000	9070000000	364000000	3620000000	3735000000	1962000000.0		300000000.0	300000000.0	38000000.0			10378000000	1695000000		12418000000	9634000000	4154000000			1743000000.0	2784000000						3064000000		18053000000		11642000000	6342000000	25181212000	1193000000					116000000	215000000		95000000		-1362000000	77000000											54000000		132000000.0	-92000000.0	
2007-12-31																																																																																																																																																		3332000000	9608000000	6276000000	6276000000	2126000000	960000000	246000000	1206000000				200000000.0				106000000	2326000000	745000000		0		2126000000	2232000000	1581000000	30039000000	24779000000	9162000000	9162000000	459000000	4422000000	3850000000	1870000000.0		311000000.0	311000000.0	38000000.0			9286000000	1450000000		13235000000	10535000000	5366000000			1596000000.0	2700000000						3074000000		16804000000		10684000000	6046000000	25201512000	2787000000					106000000	232000000		-113000000		-3462000000	485000000											-9000000		110000000.0	-190000000.0	
2007-09-30																																																																																																																																																		2090000000	6217000000	4127000000	4127000000	1060000000	823000000	207000000	1030000000				170000000.0				93000000	1230000000	326000000		0		1060000000	1153000000	904000000	25347000000	20757000000	9352000000	9352000000	346000000	4029000000	3391000000	1832000000.0		299000000.0	299000000.0	38000000.0			6034000000	996000000		10815000000	9299000000	4970000000			1805000000.0	1516000000						2919000000		14532000000		9101000000	5368000000	25201512000	1696000000					93000000	234000000		-95000000		396000000	142000000											-3000000		68000000.0	2234000000.0	
2007-06-30																																																																																																																																																		1995000000	5410000000	3415000000	3415000000	1041000000	746000000	208000000	954000000				155000000.0				81000000	1196000000	378000000		0		1041000000	1122000000	818000000	21647000000	17617000000	7118000000	7118000000	251000000	2901000000	2902000000	1626000000.0		237000000.0	237000000.0	38000000.0			6649000000	698000000		8243000000	6992000000	3660000000			1603000000.0	1251000000						2269000000		13404000000		8199000000	5149000000	24938788000	1227000000					81000000	289000000		-43000000		-1433000000	229000000											118000000		65000000.0	23000000.0	
2007-03-31																																																																																																																																																		1849000000	5264000000	3415000000	3415000000	986000000	680000000	183000000	863000000				148000000.0				69000000	1134000000	364000000		0		986000000	1055000000	770000000	18711000000	14914000000	7095000000	7095000000	208000000	1667000000	2682000000	1409000000.0		240000000.0	240000000.0	38000000.0			5482000000	462000000		6450000000	5485000000	2403000000			1533000000.0	965000000						2160000000		12261000000		7381000000	4848000000	24826284000	734000000					69000000	206000000		95000000		-978000000	180000000											75000000		63000000.0	-64000000.0	
2006-12-31																																																																																																																																																		2220000000	7115000000	4895000000	4895000000	1322000000	714000000	184000000	898000000				126000000.0				74000000	1448000000	444000000		0		1322000000	1396000000	1004000000	19461000000	15766000000	7159000000	7159000000	303000000	3113000000	2797000000	1362000000.0		146000000.0	146000000.0	38000000.0			4710000000	481000000		8233000000	7337000000	3885000000			1521000000.0	896000000						2528000000		11228000000		6611000000	4594000000	24732316000	1813000000					74000000	257000000		-33000000		-1234000000	188000000											101000000		46000000.0	767000000.0	
2006-09-30																																																																																																																																																		1412000000	4370000000	3425000000	3425000000	608000000	584000000	179000000	804000000				252000000.0				66000000	721000000	179000000		0		661000000	718000000	542000000	17205000000	13758000000	6392000000	6392000000	270000000	2094000000	2696000000	1281000000.0		139000000.0	139000000.0	38000000.0			3718000000	1284000000		7221000000	6471000000	3390000000			934000000.0	750000000						1801000000		9984000000		5607000000	4355000000	24538304000	1055000000					66000000	145000000		-57000000		357000000	53000000											-1000000		40000000.0	-1621000000.0	
2006-06-30																																																																																																																																																		1325000000	4370000000	3045000000	3045000000	566000000	584000000	175000000	759000000				0.0				57000000	661000000	189000000		0		566000000	623000000	472000000	15114000000	11486000000	8013000000	8013000000	213000000	1089000000	2623000000	1197000000.0		37000000.0	37000000.0	38000000.0			1163000000	1008000000		5784000000	5023000000	2513000000				761000000						2510000000		9330000000		5065000000	4249000000	24538304000	1007000000					57000000	237000000		-9000000		3086000000	129000000											73000000			1667000000.0	
2006-03-31																																																																																																																																																		1297000000	4359000000	3062000000	3062000000	529000000	592000000	176000000	768000000				76000000.0				50000000	605000000	195000000		0		529000000	579000000	410000000	13911000000	10730000000	6346000000	6346000000	204000000	1984000000	2625000000	1005000000.0		41000000.0	41000000.0	69000000.0			1880000000	316000000		5229000000	4456000000	2108000000			998000000.0	773000000						1714000000		8682000000		4673000000	4014000000	24599036000	-125000000					50000000	193000000		40000000		2462000000	-141000000											-275000000		42000000.0	2196000000.0	
