Date	Sentiment_Daily	News_Volume
2025-02-24	0.0765	3.0000
2025-02-25		
2025-02-26	0.2040	2.0000
2025-02-27	0.0225	2.0000
2025-02-28	0.0780	2.0000
2025-03-03	0.0689	1.0000
2025-03-04	0.0986	8.0000
2025-03-05	0.2555	6.0000
2025-03-06	0.0673	2.0000
2025-03-07	0.1287	4.0000
2025-03-10	0.1510	5.0000
2025-03-11	0.1810	6.0000
2025-03-12	0.1400	6.0000
2025-03-13	0.0579	3.0000
2025-03-14	-0.0048	1.0000
2025-03-17	0.2310	1.0000
2025-03-18	0.1430	1.0000
2025-03-19	0.4781	1.0000
2025-03-20		
2025-03-21	0.2521	1.0000
2025-03-24	0.0560	4.0000
2025-03-25	0.1315	6.0000
2025-03-26	0.0339	1.0000
2025-03-27	0.0949	7.0000
2025-03-28	0.0681	8.0000
2025-03-31	0.3448	1.0000
2025-04-01	0.0995	7.0000
2025-04-02		
2025-04-03	0.0764	3.0000
2025-04-04	0.1138	3.0000
2025-04-07	-0.0167	1.0000
2025-04-08	0.2153	1.0000
2025-04-09	0.1116	3.0000
2025-04-10	0.0457	5.0000
2025-04-11	0.0615	5.0000
2025-04-14	0.1397	9.0000
2025-04-15	0.2628	5.0000
2025-04-16	0.1172	4.0000
2025-04-17	0.0518	6.0000
2025-04-18		
2025-04-21	0.1203	5.0000
2025-04-22	0.1229	6.0000
2025-04-23	0.1743	6.0000
2025-04-24	0.1610	3.0000
2025-04-25	0.1704	2.0000
2025-04-28	0.0975	2.0000
2025-04-29	0.1280	7.0000
2025-04-30	0.1702	3.0000
2025-05-01	0.1158	8.0000
2025-05-02	0.2028	6.0000
2025-05-05	0.1491	10.0000
2025-05-06	0.1423	5.0000
2025-05-07		
2025-05-08	0.2409	2.0000
2025-05-09	0.1268	1.0000
2025-05-12	0.1211	2.0000
2025-05-13	0.1363	3.0000
2025-05-14	0.3198	1.0000
2025-05-15	0.2410	1.0000
2025-05-16	-0.1047	1.0000
2025-05-19	0.1779	2.0000
2025-05-20	0.0633	2.0000
2025-05-21	0.1160	1.0000
2025-05-22	0.1698	2.0000
2025-05-23	0.1024	1.0000
2025-05-26		
2025-05-27		
2025-05-28	0.0647	3.0000
2025-05-29	0.2363	1.0000
2025-05-30		
2025-06-02	-0.0071	2.0000
2025-06-03	0.1876	3.0000
2025-06-04	0.0975	2.0000
2025-06-05	-0.0572	3.0000
2025-06-06	0.0146	2.0000
2025-06-09	0.1031	1.0000
2025-06-10	0.0882	3.0000
2025-06-11		
2025-06-12	0.2474	1.0000
2025-06-13	0.3197	2.0000
2025-06-16	0.2310	3.0000
2025-06-17	0.2814	2.0000
2025-06-18	0.1834	4.0000
2025-06-19		
2025-06-20	0.1848	4.0000
2025-06-23	0.1757	4.0000
2025-06-24	0.1103	2.0000
2025-06-25	0.2699	1.0000
2025-06-26	0.0895	1.0000
2025-06-27	0.2508	1.0000
2025-06-30	0.2259	2.0000
2025-07-01	0.3965	1.0000
2025-07-02	0.1271	1.0000
2025-07-03	0.0941	2.0000
2025-07-04		
2025-07-07		
2025-07-08		
2025-07-09	0.2384	3.0000
2025-07-10	-0.0656	1.0000
2025-07-11	0.0625	2.0000
2025-07-14	0.0266	1.0000
2025-07-15	0.0944	2.0000
2025-07-16		
2025-07-17	0.0020	2.0000
2025-07-18	0.1743	3.0000
2025-07-21	0.2784	1.0000
2025-07-22	0.1504	1.0000
2025-07-23	0.1595	1.0000
2025-07-24	0.1972	1.0000
2025-07-25	0.2006	3.0000
2025-07-28		
2025-07-29	0.3125	1.0000
2025-07-30	0.0776	4.0000
2025-07-31	0.1659	6.0000
2025-08-01		
2025-08-04		
2025-08-05		
2025-08-06		
2025-08-07		
2025-08-08		
2025-08-11		
2025-08-12		
2025-08-13		
2025-08-14		
2025-08-15		
2025-08-18		
2025-08-19		
2025-08-20		
2025-08-21		
2025-08-22		
2025-08-25		
2025-08-26		
2025-08-27		
2025-08-28		
2025-08-29		
2025-09-01		
2025-09-02		
2025-09-03		
2025-09-04		
2025-09-05		
2025-09-08		
2025-09-09		
2025-09-10		
2025-09-11		
2025-09-12		
2025-09-15		
2025-09-16		
2025-09-17		
2025-09-18		
2025-09-19		
2025-09-22		
2025-09-23		
2025-09-24		
2025-09-25		
2025-09-26		
2025-09-29		
2025-09-30		
2025-10-01		
2025-10-02		
2025-10-03		
2025-10-06		
2025-10-07		
2025-10-08		
2025-10-09		
2025-10-10		
2025-10-13		
2025-10-14		
2025-10-15		
2025-10-16		
2025-10-17		
2025-10-20		
2025-10-21		
2025-10-22		
2025-10-23		
2025-10-24		
2025-10-27		
2025-10-28		
2025-10-29		
2025-10-30		
2025-10-31		
2025-11-03		
2025-11-04		
2025-11-05		
2025-11-06		
2025-11-07		
2025-11-10		
2025-11-11		
2025-11-12		
2025-11-13		
2025-11-14		
2025-11-17		
2025-11-18		
2025-11-19		
2025-11-20		
2025-11-21		
2025-11-24		
2025-11-25		
2025-11-26		
2025-11-27		
2025-11-28		
2025-12-01		
2025-12-02		
2025-12-03		
2025-12-04		
2025-12-05		
2025-12-08		
2025-12-09		
2025-12-10		
2025-12-11		
2025-12-12		
2025-12-15		
2025-12-16		
2025-12-17		
2025-12-18		
2025-12-19		
2025-12-22		
2025-12-23		
2025-12-24		
2025-12-25		
2025-12-26		
2025-12-29		
2025-12-30		
2025-12-31		
2026-01-01		
2026-01-02		
2026-01-05		
2026-01-06		
2026-01-07		
2026-01-08		
2026-01-09		
2026-01-12		
2026-01-13		
2026-01-14		
2026-01-15		
2026-01-16		
2026-01-19		
2026-01-20		
2026-01-21		
2026-01-22		
2026-01-23		
2026-01-26		
2026-01-27		
2026-01-28		
2026-01-29		
2026-01-30		
2026-02-02		
2026-02-03		
2026-02-04		
2026-02-05		
2026-02-06		
2026-02-09		
2026-02-10		
2026-02-11		
2026-02-12		
2026-02-13	0.1407	3.0000
2026-02-14	0.1363	17.0000
2026-02-15	0.0000	5.0000
2026-02-16	0.1167	16.0000
2026-02-17	0.0866	12.0000
2026-02-18	0.0848	20.0000
2026-02-19	0.0882	35.0000
2026-02-20	0.0847	72.0000
2026-02-21	0.0183	10.0000
2026-02-22	0.0205	49.0000
2026-02-23	0.0522	62.0000
2026-02-24	0.0759	36.0000
