	Tax Effect Of Unusual Items	Tax Rate For Calcs	Net Income From Continuing Operation Net Minority Interest	Reconciled Depreciation	Net Interest Income	Interest Expense	Interest Income	Normalized Income	Net Income From Continuing And Discontinued Operation	Diluted Average Shares	Basic Average Shares	Diluted EPS	Basic EPS	Diluted NI Availto Com Stockholders	Net Income Common Stockholders	Net Income	Minority Interests	Net Income Including Noncontrolling Interests	Net Income Continuous Operations	Tax Provision	Pretax Income	Gain On Sale Of Security	Operating Expense	Selling General And Administration	General And Administrative Expense	Total Revenue	Operating Revenue	Ordinary Shares Number	Share Issued	Net Debt	Total Debt	Tangible Book Value	Invested Capital	Net Tangible Assets	Common Stock Equity	Total Capitalization	Total Equity Gross Minority Interest	Minority Interest	Stockholders Equity	Retained Earnings	Additional Paid In Capital	Capital Stock	Common Stock	Preferred Stock	Total Liabilities Net Minority Interest	Long Term Debt And Capital Lease Obligation	Payables	Other Payable	Total Assets	Investments And Advances	Investmentin Financial Assets	Available For Sale Securities	Long Term Equity Investment	Goodwill And Other Intangible Assets	Other Intangible Assets	Goodwill	Net PPE	Accumulated Depreciation	Gross PPE	Prepaid Assets	Receivables	Cash And Cash Equivalents	Cash Cash Equivalents And Federal Funds Sold	Free Cash Flow	Repurchase Of Capital Stock	Repayment Of Debt	Issuance Of Debt	Capital Expenditure	End Cash Position	Beginning Cash Position	Effect Of Exchange Rate Changes	Changes In Cash	Financing Cash Flow	Net Other Financing Charges	Cash Dividends Paid	Common Stock Dividend Paid	Net Common Stock Issuance	Common Stock Payments	Net Issuance Payments Of Debt	Net Long Term Debt Issuance	Long Term Debt Payments	Long Term Debt Issuance	Investing Cash Flow	Net Business Purchase And Sale	Purchase Of Business	Net PPE Purchase And Sale	Purchase Of PPE	Operating Cash Flow	Change In Working Capital	Change In Other Current Liabilities	Change In Other Current Assets	Change In Accrued Expense	Change In Payable	Change In Receivables	Other Non Cash Items	Depreciation And Amortization	Amortization Cash Flow	Depreciation	Gain Loss On Investment Securities	Net Income From Continuing Operations	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome	totalAssets	totalCurrentAssets	cashAndCashEquivalentsAtCarryingValue	cashAndShortTermInvestments	inventory	currentNetReceivables	totalNonCurrentAssets	propertyPlantEquipment	accumulatedDepreciationAmortizationPPE	intangibleAssets	intangibleAssetsExcludingGoodwill	goodwill	investments	longTermInvestments	shortTermInvestments	otherCurrentAssets	otherNonCurrentAssets	totalLiabilities	totalCurrentLiabilities	currentAccountsPayable	deferredRevenue	currentDebt	shortTermDebt	totalNonCurrentLiabilities	capitalLeaseObligations	longTermDebt	currentLongTermDebt	longTermDebtNoncurrent	shortLongTermDebtTotal	otherCurrentLiabilities	otherNonCurrentLiabilities	totalShareholderEquity	treasuryStock	retainedEarnings	commonStock	commonStockSharesOutstanding	operatingCashflow	paymentsForOperatingActivities	proceedsFromOperatingActivities	changeInOperatingLiabilities	changeInOperatingAssets	depreciationDepletionAndAmortization	capitalExpenditures	changeInReceivables	changeInInventory	profitLoss	cashflowFromInvestment	cashflowFromFinancing	proceedsFromRepaymentsOfShortTermDebt	paymentsForRepurchaseOfCommonStock	paymentsForRepurchaseOfEquity	paymentsForRepurchaseOfPreferredStock	dividendPayout	dividendPayoutCommonStock	dividendPayoutPreferredStock	proceedsFromIssuanceOfCommonStock	proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet	proceedsFromIssuanceOfPreferredStock	proceedsFromRepurchaseOfEquity	proceedsFromSaleOfTreasuryStock	stockBasedCompensation	changeInCashAndCashEquivalents	changeInExchangeRate	reportedDate	reportedEPS	estimatedEPS	surprise	surprisePercentage	reportTime
2015-03-31																																																																																																						2207915000	2605913000	397998000	397998000	1463345000	147823000	0.0	744570000				397998000		238972000.0		24800000	1463345000	99344000		1484258000		1463345000	1488145000	629448000	32406601000.0	3760709000.0	1135472000.0	1135472000.0	0.0	2405045000.0	28645892000.0	132448000.0		434033000.0	434033000.0	1787392000.0		22896254000.0	2049249000.0	220192000.0		14452617000.0	1246739000.0	1246739000.0				13205878000.0		9063490000.0			9150575000.0	-1246739000.0	249196000.0	7458786000.0	0.0	0.0	7500800000.0	631232041	479286000.0					24800000.0	3275000		0.0		2568000.0	-758914000.0					970960000.0	970960000.0					-27632000.0		272335000.0	4953332000.0			1.37	1.04	0.33	31.7308	
2014-12-31																																																																																																						1845991000	2161206000	315215000	315215000	1338120000	159659000	0.0	507871000				315215000		349172000.0		25006000	1338120000	74686000		1263434000		1338120000	1363126000	551451000	31510894000.0	1971793000.0	1412472000.0	1412472000.0	0.0	1687729000.0	29539101000.0	135740000.0		458833000.0	458833000.0	1787392000.0		22765589000.0	1808092000.0	-1128408000.0		14177347000.0	15513000000.0	1194579000.0			8984276000.0	8924000000.0		8937638000.0	8984276000.0		17921914000.0	14318421000.0	115785000.0	7060267000.0	0.0	0.0	7081131000.0	625276969	-412664000.0					25006000.0	8885000		76647000.0		-8884000.0	890612000.0					568229000.0	568229000.0					-2394000.0		150380000.0	3753935000.0			1.25	0.92	0.33	35.8696	
2014-09-30																																																																																																						1306358000	1688108000	381750000	381750000	632970000	138268000	0.0	673388000				381750000		8682000.0		25085000	632970000	79108000		553862000		632970000	658055000	250505000	30513856000.0	3070100000.0	943519000.0	943519000.0	0.0	1984021000.0	27443756000.0	133999000.0		483839000.0	483839000.0	1787392000.0		22121153000.0	1611489000.0	142560000.0		14122669000.0	2048754000.0	2048754000.0				12073915000.0		7814377000.0			7936726000.0	-2048754000.0	310712000.0	6702730000.0	0.0	0.0	6712137000.0	614978870	224209000.0					25085000.0	7768000		0.0		-7764000.0	-495935000.0					657244000.0	657244000.0					-8568000.0		202800000.0	2776022000.0			0.66	0.72	-0.06	-8.3333	
2014-06-30																																																																																																						1992001000	2396445000	404444000	404444000	1306664000	141495000	0.0	685337000				404444000				25566000	1306664000	83282000		1223382000		1306664000	1332230000	517016000	30059309000.0	3453293000.0	1223073000.0	1223073000.0	0.0	2131719000.0	26606016000.0	132196000.0		508924000.0	508924000.0	1787392000.0		21627145000.0	1291630000.0	98501000.0		14248604000.0	1390617000.0	1390617000.0				12857987000.0		8989184000.0			9030956000.0	-1390617000.0	172526000.0	6744316000.0	0.0	0.0	6738567000.0	609897829	863186000.0					25566000.0	7495000		0.0		-7495000.0	-420127000.0					414261000.0	414261000.0					-6161000.0		186900000.0	2704695000.0			1.15	0.71	0.44	61.9718	
2014-03-31																																																																																																						1382028000	1596823000	214795000	214795000	708972000	140539000	0.0	673056000				214795000				26258000	708972000	54097000		654875000		708972000	735230000	265617000	30028545000.0	2997916000.0	787521000.0	787521000.0	0.0	2065297000.0	27030629000.0	131715000.0		534490000.0	534490000.0	1787392000.0		21905850000.0	1373294000.0	145098000.0		15256784000.0	1418699000.0	1418699000.0				13838085000.0		9987304000.0			10204165000.0	-1418699000.0	513295000.0	6345452000.0	0.0	0.0	6343034000.0	605669164	980258000.0					26258000.0	6123000		-141227000.0		-282000.0	-1024457000.0					708862000.0	708862000.0					-19129000.0		194645000.0	2985351000.0			0.7	0.55	0.15	27.2727	
2013-12-31																																																																																																						2219664000	2894916000	675252000	675252000	1584913000	136280000	0.0	634751000				675252000		402133000.0		26396000	1584913000	91090000		1493823000		1584913000	1611309000	621255000	29678606000.0	2973624000.0	831998000.0	831998000.0	0.0	2080400000.0	26704982000.0	137088000.0		560748000.0	560748000.0	1787392000.0		21729523000.0	1194866000.0	61226000.0		15300935000.0	872086000.0	872086000.0				14428849000.0		10466504000.0			10782856000.0	-872086000.0	392547000.0	6306766000.0	0.0	0.0	6303300000.0	601527299	815236000.0					26396000.0	7063000		362662000.0		-6978000.0	-865561000.0					276687000.0	276687000.0					-3608000.0		282953000.0	2382491000.0			1.35	0.82	0.53	64.6341	
2013-09-30																																																																																																						1135819000	1304797000	168978000	168978000	518392000	126113000	0.0	617427000				168978000				24783000	518392000	57477000		460915000		518392000	543175000	171164000	28034882000.0	2749211000.0	888938000.0	888938000.0	0.0	1809340000.0	25285671000.0	138433000.0		587144000.0	587144000.0	1787392000.0		20151386000.0	1219507000.0	50933000.0		15530358000.0	1115206000.0	1115206000.0				14415152000.0		10801714000.0			10870219000.0	-1115206000.0	170086000.0	5671564000.0	0.0	0.0	5669930000.0	592920795	1392149000.0					24783000.0	3929000		0.0		-150085000.0	-1014418000.0					287677000.0	287677000.0					-5091000.0		193600000.0	1301592000.0			0.56	0.55	0.01	1.8182	
2013-06-30																																																																																																						1205746000	1481436000	275690000	275690000	566674000	121993000	0.0	639072000				275690000				21579000	566674000	56082000		510592000		566674000	588253000	211148000	27742878000.0	2669397000.0	660977000.0	660977000.0	0.0	1933295000.0	25073481000.0	143804000.0		554043000.0	554043000.0	1703602000.0		19897566000.0	1353148000.0	75125000.0		15742167000.0	1096167000.0	1096167000.0				14646000000.0		11363892000.0			11363892000.0	-1096167000.0	77553000.0	5538900000.0	0.0	0.0	5537746000.0	586763053	236254000.0					21579000.0	7301000		0.0		-7349000.0	-382599000.0					343600000.0	343600000.0					-5700000.0		183200000.0	1332193000.0			0.62	0.49	0.13	26.5306	
2013-03-31																																																																																																						1101712000	1313683000	211971000	211971000	478582000	116714000	0.0	623130000				211971000				22913000	478582000	50993000		427589000		478582000	501495000	167635000	27977999000.0	2646502000.0	815266000.0	815266000.0	0.0	1765311000.0	25331497000.0	141445000.0		575622000.0	575622000.0	1703602000.0		19954586000.0	1499419000.0	65925000.0		16611765000.0	1386791000.0	1386791000.0				15224974000.0		11904958000.0			12007330000.0	-1386791000.0	315242000.0	5476259000.0	0.0	0.0	5478211000.0	585699899	1104302000.0					22913000.0	7344000		207811000.0		-1492000.0	-997036000.0					561515000.0	561515000.0					-9741000.0		195343000.0	1797692000.0			0.55	0.54	0.01	1.8519	
2012-12-31																																																																																																						917390000	1323067000	405677000	405677000	187167000	136649000	0.0	730223000				405677000		166984000.0		23742000	187167000	65696000		43965000		187167000	210909000	106413000	28931552000.0	2549231000.0	709502000.0	709502000.0	0.0	1758231000.0	26382321000.0	142390000.0		598535000.0	598535000.0	1703602000.0		20847270000.0	1652429000.0	81498000.0		17716605000.0	1038888000.0	1038888000.0				16677717000.0		13051404000.0			13193670000.0	-1038888000.0	368691000.0	5466847000.0	0.0	0.0	5464677000.0	582322183	226805000.0					23742000.0	10047000		471062000.0		-41377000.0	-309449000.0					112131000.0	112131000.0					-1602000.0		259016000.0	476350000.0			0.59	0.47	0.12	25.5319	
2012-09-30																																																																																																						1223090000	917170000	702892000	702892000	371699000	129425000	0.0	545471000				169960000				30597000	235739000	39237000		196502000		341102000	371699000	128824000	27800439000.0	22975889000.0	833515000.0	833515000.0	802415000.0	1375674000.0	4824550000.0	0.0		622280000.0	622280000.0	1703602000.0		20766700000.0	20766700000.0	105581000.0		16958709000.0	3908407000.0	825153000.0				13050302000.0		12875686000.0			12875686000.0	3083254000.0	174616000.0	5366587000.0	0.0	737079000.0	5365184000.0	546923603	10018000.0					30597000.0	6025000		0.0		-3508000.0	414358000.0					112109000.0	112109000.0					-3523000.0		223612000.0	458579000.0			0.55	0.42	0.13	30.9524	
2012-06-30																																																																																																						627203000	816947000	1107428000	1107428000	-112616000	151985000	0.0	929563000				58486000				36693000	135614000	41337000		94277000		-149309000	-112616000	-74964000	26142570000.0	21150482000.0	412545000.0	412545000.0	858607000.0	1386479000.0	4992088000.0	0.0		652874000.0	652874000.0	1703602000.0		19351458000.0	19351458000.0	88524000.0		15878830000.0	3564158000.0	823413000.0				12314672000.0		12110532000.0			12110532000.0	2740745000.0	204140000.0	5382185000.0	0.0	966931000.0	5380253000.0	528778977	212104000.0					36693000.0	7862000		0.0		-7872000.0	-182881000.0					111066000.0	111066000.0					-8418000.0		244561000.0	1874509000.0			0.19	0.11	0.08	72.7273	
2012-03-31																																																																																																						952036000	1133179000	604767000	604767000	168243000	164508000	0.0	964936000				106999000		89161000.0		48142000	456385000	38753000		495138000		120101000	168243000	58325000	26546361000.0	21538889000.0	391304000.0	391304000.0	784086000.0	1399061000.0	5007472000.0	0.0		689565000.0	689565000.0	1703602000.0		19748524000.0	19748524000.0	83761000.0		16521512000.0	3556104000.0	1011428000.0				12965408000.0		12693529000.0			12693529000.0	2544676000.0	189146000.0	5148782000.0	0.0	764741000.0	5145485000.0	517389558	134228000.0					48142000.0	13086000	-136409000.0	1276926000.0		-170224000.0	-327439000.0					279224000.0	279224000.0					-8821000.0		222444000.0	-363440000.0	-5000.0		0.39	0.4	-0.01	-2.5	
2011-12-31																																																																																																						915105000	1268505000	2738425000	2738425000	43665000	192342000	0.0	1224840000				16051000		213323000.0		82827000	705660000	250299000		-300845000		-39162000	43665000	-22677000	21909129000.0	17231398000.0	754744000.0	754744000.0	724762000.0	1266654000.0	4677731000.0	149690000.0		595488000.0	595488000.0	1703602000.0		15128299000.0	15128299000.0	81701000.0		12656843000.0	3543601000.0	828873000.0				9113242000.0		8867568000.0			8867568000.0	2714728000.0	101849000.0	4670663000.0	0.0	386864000.0	4668705000.0	506985529	341174000.0					82827000.0	10521000		1050147000.0		-10522000.0	-168829000.0					110296000.0	110296000.0					-2897000.0		321050000.0	-2707612000.0			0.4	0.4	0.0	0.0	
2011-09-30																																																																																																						-124079000	-391304000	759955000	759955000	-665013000	133564000	0.0	273709000				11949000				42339000	-994412000	-7637000		986775000		-707352000	-665013000	-274567000	22068796000.0	16626667000.0	592982000.0	592982000.0	1066613000.0	1185289000.0	5442129000.0	0.0		678291000.0	678291000.0	1703602000.0		14848396000.0	14848396000.0	194931000.0		13496537000.0	3678198000.0	698583000.0				9818339000.0		9412191000.0			9412191000.0	2979615000.0	406148000.0	4133102000.0	0.0	-50111000.0	4131257000.0	487189657	385745000.0					42339000.0	8793000	48293000.0	0.0		-9291000.0	-218251000.0					110295000.0	110295000.0					-2424000.0		240089000.0	158179000.0	-24000.0		-0.31	-0.05	-0.26	-520.0	
2011-06-30																																																																																																						1308281000	1077052000	845242000	845242000	323450000	125404000	0.0	753602000				32861000				41579000	248796000	64199000		-184597000		281871000	323450000	86237000	22331131000.0	17038821000.0	434803000.0	434803000.0	996666000.0	1285016000.0	5292310000.0	0.0		720134000.0	720134000.0	1703602000.0		15319002000.0	15319002000.0	93975000.0		13049899000.0	3597662000.0	735814000.0				9452237000.0		9300142000.0			9300142000.0	2861848000.0	152095000.0	4605787000.0	0.0	211758000.0	4603157000.0	483643646	-68813000.0					41579000.0	11460000	-66215000.0	0.0		-34696000.0	82493000.0					110247000.0	110247000.0					-24567000.0		408643000.0	-21008000.0	8000.0		0.63	0.33	0.3	90.9091	
2011-03-31																																																																																																						1153269000	917207000	836551000	836551000	162405000	140510000	0.0	754802000				13803000				40846000	117214000	38850000		-78364000		121559000	162405000	42704000	19248767000.0	14280851000.0	455811000.0	455811000.0	648612000.0	1148576000.0	4967916000.0	0.0		738465000.0	738465000.0	1703602000.0		12676464000.0	12676464000.0	229723000.0		10817952000.0	3283148000.0	658939000.0				7534804000.0		7325138000.0			7325138000.0	2624209000.0	209666000.0	4421486000.0	0.0	295544000.0	4418385000.0	457652916	441507000.0					40846000.0	5710000	129936000.0	-725972000.0		-5389000.0	-568928000.0					371994000.0	371994000.0					-6823000.0		426280000.0	-132810000.0			0.51	0.41	0.1	24.3902	
2010-12-31																																																																																																						1084015000	3587104000	2622898000	2622898000	94274000	135235000	0.0	3492830000				14596000				40845000	198643000	59867000		0		53429000	94274000	-10973000	18844605000.0	13935259000.0	588621000.0	588621000.0	790399000.0	1291288000.0	4909346000.0	144881000.0		779311000.0	779311000.0	1703602000.0		11974472000.0	11974472000.0	80878000.0		10591248000.0	3275662000.0	629135000.0				7315586000.0		7198898000.0			7198898000.0	2646527000.0	116688000.0	4363096000.0	0.0	470583000.0	4358794000.0	389804253	-688000000.0					40845000.0	23573000		3617829000.0		-23739000.0	259864000.0					110119000.0	110119000.0					-3199000.0		515790000.0				0.46	0.3	0.16	53.3333	
2010-09-30																																																																																																						784000000	928019000	793290000	793290000	-141769000	120713000	0.0	1069788000				11766000				40872000	143302000	-4225000		-147527000		-182641000	-141769000	-44358000	17740891000.0	13516923000.0	1016229000.0	1016229000.0	0.0	1082273000.0	4223968000.0	0.0		820169000.0	820169000.0	1703602000.0		11026730000.0	11026730000.0	287445000.0		10085097000.0	3349361000.0	623730000.0				6735736000.0		6735736000.0			6735736000.0	2725631000.0	264037000.0	4138224000.0	0.0	551737000.0	4132225000.0	370101582	289275000.0					40872000.0	11780000		0.0		-12177000.0	256684000.0					109977000.0	109977000.0					-712000.0		457379000.0				0.3	0.26	0.04	15.3846	
2010-06-30																																																																																																						550088000	461169000	989698000	989698000	-577678000	130386000	0.0	1038847000				7682000				40822000	-636928000	19392000		656320000		-618500000	-577678000	-193320000	16473309000.0	12562940000.0	506739000.0	506739000.0	-390176000.0	1164545000.0	3910369000.0	0.0		860634000.0	860634000.0	1703602000.0		10501480000.0	10501480000.0	390176000.0		9346729000.0	2994058000.0	671300000.0				6895158000.0		6352671000.0			6352671000.0	2322758000.0		3840629000.0	0.0	0.0	3839019000.0	354399780	6340000.0					40822000.0	11833000		0.0		-33153000.0	-93705000.0					109746000.0	109746000.0					-11754000.0		743834000.0				0.18	0.16	0.02	12.5	
2010-03-31																																																																																																						701239000	803517000	987291000	987291000	-399475000	106238000	0.0	1202992000				7185000				39512000	-227671000	9635000		0		-438987000	-399475000	-121377000	13486317000.0	9693381000.0	627257000.0	627257000.0	-276540000.0	1118010000.0	3792936000.0			879965000.0	879965000.0	1703602000.0			7671574000.0	276540000.0		6490396000.0	2517305000.0	448329000.0				4518439000.0		3973091000.0			3973091000.0	2068976000.0		3738220000.0			3736511000.0	333433864	20500000.0					39512000.0	6974000		-627214000.0		-7120000.0	-338219000.0					269548000.0	269548000.0					-9489000.0		723145000.0				0.32	0.21	0.11	52.381	
2009-12-31																																																																																																						799127000	805767000	6640000	6640000	-365314000	116481000	0.0	1164441000				6640000				39511000	-365314000	18063000		0		-365314000	-325803000	-143250000	9409024000.0	5615025000.0	952096000.0	952096000.0	-86084000.0	1066214000.0	3793999000.0	117415000.0		919477000.0	919477000.0	1703602000.0			3565483000.0	31232000.0		2865491000.0	2207868000.0	308500000.0				1183934000.0		633803000.0			657623000.0	1899011000.0		3379127000.0			3376707000.0	318333333	505981000.0					39511000.0	5304000		314348000.0		-1742000.0	-38613000.0					93231000.0	93231000.0					-497000.0		809138000.0				0.29	0.2	0.09	45.0	
2009-09-30																																																																																																						597023000	-315051000	980628000	980628000	-500771000	111908000	0.0	185720000				5258000				39513000	-426959000	52551000		0		-540284000	-500771000	-176183000	8729981000.0	4970036000.0	486470000.0	486470000.0	-73724000.0	597396000.0	3759945000.0			958989000.0	958989000.0	1703602000.0			3812208000.0	238000.0		2845764000.0	1545207000.0	139743000.0				1766613000.0		673386000.0			836395000.0	1405464000.0		3340251000.0			3340428000.0	283243485	-787058000.0					39513000.0	5430000				-5590000.0	494539000.0					84826000.0	84826000.0					-46000.0		738404000.0				0.25	0.15	0.1	66.6667	
2009-06-30																																																																																																						406416000	488964000	937751000	937751000	-645290000	113868000	0.0	1134254000				87000				39511000	-586986000	10885000		0		-684801000	-645290000	-164284000	7698732000.0	3990099000.0	784579000.0	784579000.0	-70914000.0	607267000.0	3708633000.0			998500000.0	998500000.0	1703602000.0			2527339000.0	-290247000.0		2048864000.0	1468988000.0	163451000.0				1034699000.0		78048000.0			258157000.0	1305537000.0		3351753000.0			3351177000.0	273624497	136704000.0					39511000.0	8411000				-9450000.0	-118978000.0					82572000.0	82572000.0					-28208000.0		762521000.0				0.16	0.09	0.07	77.7778	
2009-03-31																																																																																																						44914000	116618000	812347000	812347000	-877444000	108612000	0.0	181715000				1399000				39513000	-912207000	17731000		0		-916957000	-877444000	-231574000	7674509000.0	3920470000.0	776303000.0	776303000.0	-67505000.0	679528000.0	3754039000.0			1038013000.0	1038013000.0	1703602000.0			2397134000.0	-363334000.0		2077965000.0	1482103000.0	208681000.0				1028447000.0		81874000.0			329753000.0	1273422000.0		3430846000.0			3433752000.0	272107151	555882000.0					39513000.0	4482000		646386000.0		-2044000.0	-281272000.0					40432000.0	40432000.0					-27934000.0		738045000.0				-0.07	-0.1	0.03	30.0	
2008-12-31																																																																																																						-915587000	-906905000	8682000	8682000	-1898938000	121040000	0.0	983351000				8682000				39512000	-1898938000	8883000		0		-1898938000	-1859426000	-415177000	9489057000.0	5678907000.0	503737000.0	503737000.0		1400371000.0	3810150000.0	118966000.0		1077526000.0	1077526000.0	1703602000.0			2830942000.0	36533000.0		3370612000.0	1872472000.0	1284576000.0				1491317000.0		82916000.0			387000000.0	587896000.0		3509157000.0			3509448000.0	273624497	1197952000.0					39512000.0	12265000		49082000.0		-3241000.0	-1825928000.0					78823000.0	78823000.0					-13123000.0		807918000.0				-0.68	-0.4	-0.28	-70.0	
2008-09-30																																																																																																						-160254000	-716902000	1708423000	1708423000	-1292952000	135284000	0.0	576050000				5893000				39512000	-1843707000	-21362000		0		-1332464000	-1292952000	-340331000	11949257000.0	8092552000.0	1134954000.0	1134954000.0		1489271000.0	3856705000.0			1117038000.0	1117038000.0	1695848000.0			5468327000.0	143681000.0		3299272000.0	2290376000.0	170498000.0			986021000.0	1008896000.0		986021000.0			1994917000.0	2119878000.0		3813857000.0			3814142000.0	267830881	421504000.0					39512000.0	14621000				-9731000.0	451839000.0					83081000.0	83081000.0					-1317000.0		774431000.0				-0.44	0.01	-0.45	-4500.0	
2008-06-30																																																																																																						353933000	537922000	1028808000	1028808000	-810156000	129592000	0.0	1348078000				5689000				40685000	-620478000	-25851000		0		-850841000	-810156000	-156531000	13489918000.0	9620958000.0	217660000.0	217660000.0	-1249954000.0	2152713000.0	3868960000.0			1206450000.0	1206450000.0	1689976000.0			7195586000.0	54999000.0		3682503000.0	2641592000.0	175150000.0			734802000.0	1040911000.0		378056000.0			1775713000.0	2466442000.0		4000823000.0			3999764000.0	263610181	155825000.0					40685000.0	16008000				20210000.0	-577272000.0					700963000.0	700963000.0					-17423000.0		805597000.0				0.15	0.08	0.07	87.5	
2008-03-31																																																																																																						68523000	-149856000	1127003000	1127003000	-1029540000	118173000	0.0	879684000				2743000				33528000	-1245176000	8981000		0		-1063068000	-1029540000	-250993000	13216384000.0	9349888000.0	672669000.0	672669000.0	-117514000.0	1484563000.0	3866496000.0			1247135000.0	1247135000.0	1689976000.0			7066972000.0	8170000.0		3184821000.0	8619000000.0	210987000.0			1084235000.0	452000000.0		451653000.0			2208067000.0	8408013000.0		4145376000.0			4144519000.0	263147120	115154000.0					33528000.0	7219000		505779000.0		-388918000.0	77714000.0					183353000.0	183353000.0					1646000.0		914671000.0				-0.06	0.14	-0.2	-142.8571	
2007-12-31																																																																																																						-1898778000	-1895258000	3520000	3520000	-716245000	159036000	0.0	-1182533000				3520000				55203000	-703342000	8576000		0		-716245000	-661042000	-170000000	13174200000.0	10121695000.0	868629000.0	868629000.0		1881190000.0	3052505000.0	64370000.0		604681000.0	604681000.0	1597474000.0			7145156000.0	63024000.0		2868199000.0	8817000000.0	250445000.0			1196858000.0	130000000.0		88840000.0			1597148000.0	8566555000.0		4226845000.0			4226500000.0	259860669	243759000.0					55203000.0	15195000		-7543041000.0		-15196000.0	29873000.0					2631249000.0	2631249000.0					1646000.0		1765188000.0				0.08	0.16	-0.08	-50.0	
2007-09-30																																																																																																						526686000	534312000	929721000	929721000	-524309000	119016000	0.0	1058621000				2258000				55204000	-514425000	5841000		0		-577255000	-522051000	-113190000	12970014000.0	3107742000.0	610193000.0	610193000.0		2180389000.0	9862272000.0			659884000.0	659884000.0	1606514000.0			312865000.0	4295000.0		2841794000.0	8506000000.0	164899000.0			1084803000.0	145000000.0		144507000.0			1229310000.0	8341101000.0		4319366000.0			4318973000.0	260194486	-266947000.0					55204000.0	2594000				-2593000.0	-553630000.0					2710043000.0	2710043000.0					-17691000.0		747406000.0				0.21	0.3	-0.09	-30.0	
2007-06-30																																																																																																						952128000	3297291000	345545000	345545000	475160000	116243000	0.0	2822131000				15180000				7200000	2835503000	-2409000		0		-825175000	559557000	774351000	18779891000.0	4051649000.0	1433363000.0	1433363000.0		1271447000.0	14728242000.0			715088000.0	715088000.0	1551175000.0			467766000.0	879073000.0		3460706000.0	149874000.0	149874000.0				-2956972000.0		176930000.0			176930000.0	-149874000.0		4558855000.0			4558505000.0	189208003	516847000.0					7200000.0	11450000				-34742000.0	825897000.0					1861117000.0	1861117000.0											0.46	0.46	0.0	0.0	
2007-03-31																																																																																																						4251728000	4262850000	11122000	11122000	1054218000	81821000	0.0	3197510000				11122000				-3198625000	4090700000	13970000		0		7543296000	1054218000	1132076000	39365506000.0	37631964000.0	-964194000.0	-964194000.0			1733542000.0								37631964000.0			2587625000.0		217922000.0				1405509000.0		1405509000.0			2369703000.0	43194000.0		2890442000.0			2884165000.0	260171676	-1343955000.0						3068000				-3068000.0	1342302000.0					1050820000.0	1050820000.0															
2006-12-31																																																																																																						7850126000	7850126000	173377000	173377000	-216395000	0	0.0	8066521000				9483000				809412000	-216395000	-809412000		0		-1025807000	-216395000	593017000	33891044000.0	2532671000.0	129443000.0	129443000.0		1311586000.0	31358373000.0	43679000.0							810725000.0	280917000.0		2373271000.0	157355000.0	157355000.0				-263954000.0		49822000.0			2215916000.0	-91054000.0		2722879000.0			2712605000.0	183868331	-3106024000.0						10132000				-10132000.0	3161645000.0					1551957000.0	1551957000.0															
2006-09-30																																																																																																						1269434000	1276702000	7268000	7268000	336023000	63946000	0.0	933411000				7268000				293254000	1143927000	10041000		0		6509000	336023000	372548000																																				183868331	-1196003000.0						10600000				-10600000.0	1225944000.0																					
2006-06-30																																																																																																						1561822000	1577002000	15180000	15180000	198400000	70218000	0.0	1363422000				15180000				293254000	1146059000	-2409000		0		6509000	198400000	774351000																																				189208003							0																										
2006-03-31																																																																																																						220989000	220989000	91108000	91108000	220989000	0	0.0	0				7488000				266166000	220989000	-266166000		0		-45177000	220989000	487155000																																				189208003							0																										
2005-12-31																																																																																																						5266717000	5266717000	329463000	329463000	5422102000	0	0.0	-155385000				23830000				-5089436000	5422102000	5089436000		0		10511538000	5422102000	332666000	21121124000.0	20287019000.0	-1132080000.0	-1132080000.0			834105000.0	26330000.0							20287019000.0	8191000.0		2082771000.0		113064000.0				837627000.0		20457000.0			1969707000.0	46044000.0		1824945000.0			1818749000.0	183868331	2709258000.0						7353000										1327169000.0	1327169000.0															
