	Tax Effect Of Unusual Items	Tax Rate For Calcs	Normalized EBITDA	Total Unusual Items	Total Unusual Items Excluding Goodwill	Net Income From Continuing Operation Net Minority Interest	Reconciled Depreciation	Reconciled Cost Of Revenue	EBITDA	EBIT	Net Interest Income	Interest Expense	Interest Income	Normalized Income	Net Income From Continuing And Discontinued Operation	Total Expenses	Total Operating Income As Reported	Diluted Average Shares	Basic Average Shares	Diluted EPS	Basic EPS	Diluted NI Availto Com Stockholders	Net Income Common Stockholders	Net Income	Net Income Including Noncontrolling Interests	Net Income Continuous Operations	Tax Provision	Pretax Income	Other Income Expense	Earnings From Equity Interest	Gain On Sale Of Security	Net Non Operating Interest Income Expense	Interest Expense Non Operating	Interest Income Non Operating	Operating Income	Operating Expense	Other Operating Expenses	Selling General And Administration	General And Administrative Expense	Other Gand A	Gross Profit	Cost Of Revenue	Total Revenue	Operating Revenue	Ordinary Shares Number	Share Issued	Net Debt	Total Debt	Tangible Book Value	Invested Capital	Working Capital	Net Tangible Assets	Capital Lease Obligations	Common Stock Equity	Total Capitalization	Total Equity Gross Minority Interest	Minority Interest	Stockholders Equity	Gains Losses Not Affecting Retained Earnings	Other Equity Adjustments	Retained Earnings	Additional Paid In Capital	Capital Stock	Common Stock	Total Liabilities Net Minority Interest	Total Non Current Liabilities Net Minority Interest	Tradeand Other Payables Non Current	Long Term Debt And Capital Lease Obligation	Long Term Capital Lease Obligation	Long Term Debt	Current Liabilities	Current Deferred Liabilities	Current Deferred Revenue	Current Debt And Capital Lease Obligation	Current Capital Lease Obligation	Current Debt	Other Current Borrowings	Payables And Accrued Expenses	Current Accrued Expenses	Payables	Other Payable	Dueto Related Parties Current	Accounts Payable	Total Assets	Total Non Current Assets	Other Non Current Assets	Non Current Prepaid Assets	Financial Assets	Investments And Advances	Long Term Equity Investment	Investmentsin Associatesat Cost	Goodwill And Other Intangible Assets	Goodwill	Net PPE	Accumulated Depreciation	Gross PPE	Other Properties	Machinery Furniture Equipment	Buildings And Improvements	Properties	Current Assets	Other Current Assets	Hedging Assets Current	Inventory	Other Inventories	Work In Process	Receivables	Other Receivables	Duefrom Related Parties Current	Accounts Receivable	Cash Cash Equivalents And Short Term Investments	Other Short Term Investments	Cash And Cash Equivalents	Free Cash Flow	Repayment Of Debt	Issuance Of Debt	Capital Expenditure	End Cash Position	Beginning Cash Position	Changes In Cash	Financing Cash Flow	Cash Flow From Continuing Financing Activities	Cash Dividends Paid	Common Stock Dividend Paid	Net Issuance Payments Of Debt	Net Long Term Debt Issuance	Long Term Debt Payments	Long Term Debt Issuance	Investing Cash Flow	Cash Flow From Continuing Investing Activities	Net Investment Purchase And Sale	Sale Of Investment	Net PPE Purchase And Sale	Sale Of PPE	Purchase Of PPE	Operating Cash Flow	Cash Flow From Continuing Operating Activities	Interest Received Cfo	Interest Paid Cfo	Change In Working Capital	Other Non Cash Items	Depreciation Amortization Depletion	Depreciation And Amortization	Depreciation	Operating Gains Losses	Earnings Losses From Equity Investments	Gain Loss On Investment Securities	Gain Loss On Sale Of PPE	Net Income From Continuing Operations	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome	totalAssets	totalCurrentAssets	cashAndCashEquivalentsAtCarryingValue	cashAndShortTermInvestments	inventory	currentNetReceivables	totalNonCurrentAssets	propertyPlantEquipment	accumulatedDepreciationAmortizationPPE	intangibleAssets	intangibleAssetsExcludingGoodwill	goodwill	investments	longTermInvestments	shortTermInvestments	otherCurrentAssets	otherNonCurrentAssets	totalLiabilities	totalCurrentLiabilities	currentAccountsPayable	deferredRevenue	currentDebt	shortTermDebt	totalNonCurrentLiabilities	capitalLeaseObligations	longTermDebt	currentLongTermDebt	longTermDebtNoncurrent	shortLongTermDebtTotal	otherCurrentLiabilities	otherNonCurrentLiabilities	totalShareholderEquity	treasuryStock	retainedEarnings	commonStock	commonStockSharesOutstanding	operatingCashflow	paymentsForOperatingActivities	proceedsFromOperatingActivities	changeInOperatingLiabilities	changeInOperatingAssets	depreciationDepletionAndAmortization	capitalExpenditures	changeInReceivables	changeInInventory	profitLoss	cashflowFromInvestment	cashflowFromFinancing	proceedsFromRepaymentsOfShortTermDebt	paymentsForRepurchaseOfCommonStock	paymentsForRepurchaseOfEquity	paymentsForRepurchaseOfPreferredStock	dividendPayout	dividendPayoutCommonStock	dividendPayoutPreferredStock	proceedsFromIssuanceOfCommonStock	proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet	proceedsFromIssuanceOfPreferredStock	proceedsFromRepurchaseOfEquity	proceedsFromSaleOfTreasuryStock	stockBasedCompensation	changeInCashAndCashEquivalents	changeInExchangeRate	reportedDate	reportedEPS	estimatedEPS	surprise	surprisePercentage	reportTime
2015-09-30																																																																																																																																																							9187000.0	58267000.0	49080000.0	49080000.0	195475000.0	79191000.0	0.0	-186288000.0				8307000.0				5574000.0	189202000.0	103000.0		0.0		170914000.0	176488000.0	88703000.0	2886654000.0	467465000.0	264524000.0	264524000.0	77946000.0	96722000.0	2419189000.0	1280058000.0				225273000.0			13853000.0	41090000.0		1440311000.0	242036000.0	9500000.0			147373000.0	1198275000.0		582652000.0			1342807000.0	84105000.0		1446282000.0	-50397000.0	81212000.0	781938000.0	156387529.0	87048000.0					24209000.0	102927000.0		9367000.0		57875000.0	-44106000.0					39214000.0	39214000.0											0.4	0.41	-0.01	-2.439	
2015-06-30																																																																																																																																																							52366000.0	121513000.0	69147000.0	69147000.0	19252000.0	34940000.0	0.0	33114000.0				9027000.0				14632000.0	17617000.0	45000.0		0.0		26644000.0	41276000.0	17427000.0	851154000.0	217322000.0	94970000.0	94970000.0	57512000.0	49442000.0	633832000.0	1264890000.0							6638000.0	122352000.0		625624000.0	159695000.0	11353000.0			78980000.0	465929000.0		596227000.0			543316000.0	80715000.0		224963000.0	-50397000.0	-831292000.0	198376000.0	38726667.0	43121000.0					14632000.0	589000.0				314000.0	-26624000.0					3000.0	3000.0					-631000.0						0.55	0.82	-0.27	-32.9268	
2015-03-31																																																																																																																																																							65691000.0	144377000.0	78686000.0	78686000.0	39484000.0	26207000.0	0.0	26207000.0				14683000.0				17117000.0	31221000.0	53000.0		0.0		45904000.0	63021000.0	31124000.0	955876000.0	201112000.0	88161000.0	88161000.0			754764000.0	1265654000.0							23614000.0	112951000.0		955908000.0	244137000.0				183045000.0	711771000.0		576754000.0			892820000.0	61092000.0		-408000.0	-50397000.0	-866089000.0	124534000.0	24899200.0	42972000.0					17117000.0	41281000.0					-20020000.0					11000.0	11000.0											1.25	0.82	0.43	52.439	
2014-12-31																																																																																																																																																							61633000.0	134777000.0	73144000.0	73144000.0	33007000.0	28626000.0		28626000.0				12199000.0				17131000.0	17496000.0	-51000.0				12564000.0	29695000.0	17370000.0	872586000.0	224565000.0	78159000.0	78159000.0	57512000.0	47928000.0	648021000.0								26727000.0	6797999.0		656993000.0	172360000.0	11353000.0			83594000.0	484633000.0					462606000.0	74431000.0		215190000.0		-848719000.0	198376000.0	38726667.0	45698000.0					10454000.0	7000.0				684000.0	-56384000.0					3000.0	3000.0											-0.65	-0.3	-0.35	-116.6667	
2014-09-30																																																																																																																																																							22061000.0	135619000.0	113558000.0	113558000.0	-37529000.0	18059000.0		18059000.0				26425000.0				28504000.0	-64352000.0	23000.0				-37927000.0	-9423000.0	-59647000.0	1038035000.0	257833000.0	104599000.0	104599000.0			780202000.0					149482000.0				153234000.0		1161308000.0	324364000.0				245522000.0	836944000.0					1079642000.0	78842000.0		-123756000.0		-884237000.0	99346000.0	19882333.0	17730000.0					28504000.0	1776000.0					19619000.0					12116000.0	12116000.0											-0.75	-1.1	0.35	31.8182	
2014-06-30																																																																																																																																																							22061000.0	135619000.0	113558000.0	113558000.0	-37529000.0	18059000.0		59590000.0				26425000.0				28504000.0	-64352000.0	23000.0				-37927000.0	-9423000.0	-59647000.0	1038035000.0	257833000.0	104599000.0	104599000.0	78766000.0	37322000.0	780202000.0					149482000.0			7251000.0	153234000.0		1161308000.0	324364000.0	4483000.0			245522000.0	836944000.0					1079642000.0	78842000.0		-123756000.0		-884237000.0	99346000.0	19882333.0	17730000.0					28504000.0	1776000.0				4814000.0	19619000.0					12116000.0	12116000.0											-1.15	-1.37	0.22	16.0584	
2014-03-31																																																																																																																																																							43399000.0	169998000.0	126599000.0	126599000.0	5579000.0	22093000.0		22093000.0				21565000.0				23544000.0	-15142000.0	70000.0				6423000.0	29967000.0	-12085000.0	1374081000.0	330783000.0	111229000.0	111229000.0	86876000.0	51272000.0	1043298000.0								6538000.0	81406000.0		1367254000.0	173755000.0	10587000.0			106445000.0	1193499000.0					1296524000.0	56623000.0		1053000.0		-746360000.0	95341000.0	18592308.0	21152000.0					23544000.0	541000.0					14936000.0					12455000.0	12455000.0											0.2	-0.03	0.23	766.6667	
2013-12-31																																																																																																																																																							1072000.0	118972000.0	117900000.0	117900000.0	-65548000.0	10442000.0		66620000.0				21216000.0				23357000.0	-78848000.0	98000.0				-57632000.0	-34275000.0	-78230000.0	1251802000.0	240039000.0	62436000.0	62436000.0	78766000.0	37322000.0	1011763000.0								7251000.0	55901000.0		1313590000.0	323140000.0	4483000.0			305398000.0	990450000.0					1174410000.0	13259000.0		-66846000.0		-824590000.0	98206000.0	19316049.0	-429000.0					23357000.0	42324000.0		-2844000.0		-2812000.0	-45552000.0					12398000.0	12398000.0											-0.85	-0.95	0.1	10.5263	
2013-09-30																																																																																																																																																							280000.0	126494000.0	126214000.0	126214000.0	-20668000.0	7412000.0		20948000.0				22775000.0				24728000.0	-37045000.0	84000.0				-14270000.0	10458000.0	-36446000.0	1409143000.0	277629000.0	79279000.0	79279000.0	85802000.0	44137000.0	1131514000.0								3686000.0	64725000.0		1453789000.0	134886000.0	15158000.0			75619000.0	1318903000.0					1390651000.0	43981000.0		-54513000.0		-721244000.0	78843000.0	15846087.0	-3112000.0					24728000.0	519000.0				16611000.0	-17928000.0																	-0.9	-2.35	1.45	61.7021	
2013-06-30																																																																																																																																																							-12231000.0	121222000.0	133453000.0	133453000.0	-100055000.0	7325000.0		7325000.0				22908000.0				26946000.0	-120360000.0	94000.0				-97452000.0	-70506000.0	-120277000.0	1468189000.0	296220000.0	83708000.0	83708000.0			1171969000.0									212512000.0		1476387000.0	130281000.0				73824000.0	1346106000.0					1408787000.0	56457000.0		-18734000.0		-684798000.0	78514000.0	15583200.0	-17155000.0					26946000.0	2522000.0					-1920000.0																	-2.55	-2.51	-0.04	-1.5936	
2013-03-31																																																																																																																																																							-12231000.0	121222000.0	133453000.0	133453000.0	-100055000.0	7325000.0		87824000.0				22908000.0				26946000.0	-120360000.0	94000.0				-97452000.0	-70506000.0	-120277000.0	1468189000.0	296220000.0	83708000.0	83708000.0	111602000.0	47617000.0	1171969000.0								3391000.0	212512000.0		1476387000.0	130281000.0				73824000.0	1346106000.0					1408787000.0	56457000.0		-18734000.0		-684798000.0	78514000.0	15583200.0	-17155000.0					26946000.0	2522000.0				-6712000.0	-1920000.0																	-1.8	-2.48	0.68	27.4194	
2012-12-31																																																																																																																																																							49340000.0	197436000.0	148096000.0	148096000.0	6693000.0	21186000.0		21186000.0				23149000.0				28088000.0	-16801000.0	122000.0				6348000.0	34436000.0	-16566000.0	1688221000.0	392030000.0	137603000.0	137603000.0	111602000.0	51928000.0	1296191000.0								3391000.0	87506000.0		1557072000.0	186621000.0	5975000.0			72770000.0	1370451000.0					1434552000.0	101127000.0		119675000.0		-545766000.0	194646000.0	15571700.0	23702000.0					28088000.0	14607000.0		-1167000.0			-24693000.0																	0.3	-2.67	2.97	111.236	
2012-09-30																																																																																																																																																							5079000.0	197436000.0	192357000.0	192357000.0	6693000.0	63817000.0		-1614000.0				23149000.0				28088000.0	-16801000.0	122000.0				6348000.0	34436000.0	-16566000.0	1688221000.0	392030000.0	137603000.0	137603000.0	111602000.0	51928000.0	1296191000.0								3391000.0	87506000.0		1557072000.0	186621000.0	5975000.0			72770000.0	1370451000.0					1434552000.0	101127000.0		119675000.0		-545766000.0	194646000.0	15571700.0	23702000.0					28088000.0	14607000.0		-1167000.0		-25890000.0	-24693000.0																	-3.35	-2.43	-0.92	-37.8601	
2012-06-30																																																																																																																																																							64070000.0	176576000.0	112506000.0	112506000.0	1069000.0	25803000.0		44725000.0				23945000.0				29327000.0	-24325000.0	77000.0				9916000.0	39243000.0	-24346000.0	1803043000.0	442524000.0	177149000.0	177149000.0			1360519000.0									265375000.0		1606149000.0	193683000.0				75069000.0	1412466000.0					1480710000.0	118614000.0		184827000.0		-4292000.0	194646000.0	15707097.0	34085000.0					29327000.0	398000.0					-13014000.0																	-1.05	-0.03	-1.02	-3400.0	
2012-03-31																																																																																																																																																							29108000.0	163728000.0	134620000.0	134620000.0	11365000.0	22878000.0		17743000.0				23688000.0				29327000.0	-13772000.0	77000.0				9916000.0	39243000.0	-24346000.0	1803043000.0	442524000.0	177149000.0	177149000.0	64819000.0	76210000.0	1360519000.0								2509000.0	265375000.0		1606149000.0	193683000.0	5707000.0			75069000.0	1412466000.0					1480710000.0	118614000.0		184827000.0		-4292000.0	194646000.0	15707097.0	34085000.0					29327000.0	398000.0				-13433000.0	-13014000.0																	-0.25	-0.5	0.25	50.0	
2011-12-31																																																																																																																																																							26970000.0	149253000.0	122283000.0	122283000.0	17590000.0	20330000.0		9380000.0				24025000.0				29534000.0	-680000.0	85000.0				23345000.0	52879000.0	7175000.0	1819483000.0	430290000.0	169511000.0	169511000.0	64819000.0	81945000.0	1389193000.0								2509000.0	260779000.0		1598367000.0	173156000.0	5707000.0			75290000.0	1425211000.0					1493724000.0	97866000.0		208993000.0		-455837000.0	194646000.0	15944444.0	13545000.0					29534000.0	565000.0				23826000.0	-28426000.0																	-2.0	-3.16	1.16	36.7089	
2011-09-30																																																																																																																																																							39483000.0	161012000.0	121529000.0	121529000.0	-326502000.0	9871000.0		365985000.0				37188000.0				49626000.0	-343762000.0	349000.0				-306574000.0	-256948000.0	-343666000.0	1840569000.0	410405000.0	160566000.0	160566000.0	64819000.0	81945000.0	1430164000.0								2509000.0	100566000.0		1627090000.0	167384000.0	5707000.0			75326000.0	1459706000.0					1526749000.0	64369000.0		200984000.0		-463012000.0	194646000.0	15571700.0	19047000.0					49626000.0	3398000.0				209741000.0	-259249000.0					1557000.0	1557000.0											-2.95	-3.73	0.78	20.9115	
2011-06-30																																																																																																																																																							39735000.0	173914000.0	134179000.0	134179000.0	-135814000.0	9871000.0		175549000.0				32522000.0				49992000.0	-166468000.0	76000.0				-133946000.0	-83954000.0	-166156000.0	3273610000.0	471018000.0	191027000.0	191027000.0			2802592000.0									279991000.0		2715980000.0	351530000.0				266544000.0	2364450000.0					2619352000.0	84986000.0		544690000.0		-119346000.0	194646000.0	15571700.0	1948000.0					49992000.0	16175000.0				75490000.0	-59563000.0					1557000.0	1557000.0											-1.5	-1.88	0.38	20.2128	
2011-03-31																																																																																																																																																							70097000.0	219398000.0	149301000.0	149301000.0	-1063000.0	8698000.0		71160000.0				35698000.0				50801000.0	-35209000.0	44000.0				489000.0	51290000.0	-35244000.0	3526004000.0	538812000.0	173152000.0	173152000.0	87202000.0	80741000.0	2987192000.0								53016000.0	365660000.0		2800288000.0	406655000.0	13423000.0			299348000.0	2393633000.0					2676837000.0	107307000.0		712388000.0		48367000.0	194646000.0	15664000.0	42950000.0					50801000.0	59678000.0				-5893000.0	-46881000.0					7786000.0	7786000.0											-0.4	-0.8	0.4	50.0	
2010-12-31																																																																																																																																																							91420000.0	234809000.0	143389000.0	143389000.0	42812000.0	10330000.0		48608000.0				36089000.0				52100000.0	16961000.0	63000.0				53050000.0	105150000.0	15465000.0	3655381000.0	565108000.0	182976000.0	182976000.0	87202000.0	80741000.0	3090273000.0								53016000.0	382132000.0		2886917000.0	450396000.0	13423000.0			350212000.0	2436521000.0					2773173000.0	100184000.0		755127000.0		91397000.0	194646000.0	15465000.0	-7092000.0					52100000.0	3127000.0				146334000.0	-132905000.0					7786000.0	7786000.0											-0.7	-0.65	-0.05	-7.6923	
2010-09-30																																																																																																																																																							109818000.0	251111000.0	141293000.0	141293000.0	48437000.0	8400000.0		61381000.0				39175000.0				54385000.0	12773000.0	52000.0				51948000.0	106333000.0	12258000.0	3844505000.0	661393000.0	207977000.0	207977000.0			3183112000.0									453416000.0		3066444000.0	432339000.0				314640000.0	2634105000.0					2940627000.0	117699000.0		767039000.0		115027000.0	194646000.0	15571700.0	95876000.0					54385000.0	104397000.0				-20246000.0	-36262000.0					58395000.0	58395000.0											0.35	0.88	-0.53	-60.2273	
2010-06-30																																																																																																																																																							242384000.0	365780000.0	123396000.0	123396000.0	117978000.0	71565000.0		124406000.0				37555000.0				53185000.0	81545000.0	55000.0				119100000.0	172285000.0	81306000.0	3966754000.0	749209000.0	168609000.0	168609000.0			3217545000.0									580600000.0		3140115000.0	514306000.0				302051000.0	2625809000.0					2914482000.0	212255000.0		815979000.0		161164000.0	194646000.0	15635769.0	153958000.0					53185000.0	306165000.0					236885000.0					58394000.0	58394000.0											4.6	3.36	1.24	36.9048	
2010-03-31																																																																																																																																																							180222000.0	356116000.0	175894000.0	175894000.0	117978000.0	19067000.0		62244000.0				37555000.0				53185000.0	81545000.0	55000.0				119100000.0	172285000.0	81306000.0	3966754000.0	749209000.0	168609000.0	168609000.0	35093000.0	125476000.0	3217545000.0								62920000.0	580600000.0		3140115000.0	514306000.0				302051000.0	2625809000.0					2914482000.0	212255000.0		815979000.0		161164000.0	194646000.0	15635769.0	153958000.0					53185000.0	306165000.0				-307760000.0	236885000.0					58394000.0	58394000.0											4.5	3.5	1.0	28.5714	
2009-12-31																																																																																																																																																							146698000.0	262141000.0	115443000.0	115443000.0	38864000.0	120986000.0		107834000.0				40479000.0				59802000.0	4933000.0	255000.0				45412000.0	105214000.0	3923000.0	3715218000.0	783182000.0	82575000.0	82575000.0	35093000.0	125476000.0	2932036000.0								62920000.0	444760000.0		2964470000.0	605362000.0	36574000.0			409637000.0	2359108000.0					2750043000.0	143709000.0		741340000.0		78029000.0	194646000.0	15625098.0	66265000.0					59802000.0	23331000.0				-41997000.0	-47467000.0					11678000.0	11678000.0											0.25	0.54	-0.29	-53.7037	
2009-09-30																																																																																																																																																							138047000.0	236069000.0	98022000.0	98022000.0	28151000.0	49683000.0		109896000.0				39758000.0				60496000.0	-4792000.0	60000.0				34966000.0	95462000.0	-5610000.0	3806725000.0	733717000.0	105774000.0	105774000.0			3073008000.0									627943000.0		3058979000.0	586764000.0				457164000.0	2472215000.0					2907030000.0	129600000.0		739093000.0				16028571.0	51426000.0					60496000.0	12171000.0					-74641000.0					19465000.0	19465000.0											-0.55	-0.62	0.07	11.2903	
2009-06-30																																																																																																																																																							138047000.0	236069000.0	98022000.0	98022000.0	28151000.0	49683000.0		109896000.0				39758000.0				60496000.0	-4792000.0	60000.0				34966000.0	95462000.0	-5610000.0	3806725000.0	733717000.0	105774000.0	105774000.0			3073008000.0									627943000.0		3058979000.0	586764000.0				457164000.0	2472215000.0					2907030000.0	129600000.0		739093000.0				16028571.0	51426000.0					60496000.0	12171000.0				8385000.0	-74641000.0					19465000.0	19465000.0											1.8	0.01	1.79	17900.0	
2009-03-31																																																																																																																																																							243795000.0	356601000.0	112806000.0	112806000.0	110961000.0	74718000.0		132834000.0				40620000.0				58361000.0	77302000.0	-2000.0				117922000.0	176283000.0	76618000.0	3942053000.0	777211000.0	206577000.0	206577000.0	42223000.0	89123000.0	3164842000.0								60138000.0	570634000.0		3201882000.0	627038000.0	27034000.0			493721000.0	2574844000.0					3041506000.0	133317000.0		732848000.0		45402000.0	194646000.0	15636327.0	90896000.0					58361000.0	70945000.0				20698000.0	-95836000.0					19466000.0	19466000.0											4.9	3.44	1.46	42.4419	
2008-12-31																																																																																																																																																							341184000.0	593806000.0	252622000.0	252622000.0	115343000.0	9335000.0		83548000.0				45480000.0				58841000.0	52654000.0	213000.0				126734000.0	185575000.0	51552000.0	4027728000.0	821362000.0	190819000.0	190819000.0	42223000.0	89123000.0	3206366000.0								60138000.0	58149000.0		3318874000.0	710930000.0	27034000.0			536764000.0	2607944000.0					3121359000.0	131002000.0		702217000.0		45402000.0	194646000.0	15571700.0	111558000.0					58841000.0	105539590.0					-37202000.0					38924000.0	38924000.0											5.15	5.52	-0.37	-6.7029	
2008-09-30																																																																																																																																																							334006000.0	577263000.0	243257000.0	243257000.0	172597000.0	8560000.0		161409000.0				43680000.0				56547000.0	108290000.0	-1056000.0				151970000.0	208517000.0	107846000.0	4150623000.0	1116639000.0	240451000.0	240451000.0			3033984000.0									876188000.0		3458145000.0	834103000.0				582829000.0	2624042000.0					3184299000.0	251274000.0		686729000.0				15571700.0	272711000.0					56547000.0	269657000.0				-251756000.0	93273000.0					233577000.0	233577000.0											8.85	9.78	-0.93	-9.5092	
2008-06-30																																																																																																																																																							481864000.0	674270000.0	192406000.0	192406000.0	327132000.0	100847000.0		154732000.0				46833000.0				53899000.0	319170000.0	97000.0				366003000.0	419902000.0	318398000.0	4000614000.0	1151389000.0	126223000.0	126223000.0			2849225000.0									1025166000.0		3387241000.0	801302000.0				527276000.0	2585939000.0					3092929000.0	274026000.0		608069000.0				15571700.0	212443000.0					53899000.0	280511000.0				-185301000.0	-29630000.0					205771000.0	205771000.0											10.9	11.65	-0.75	-6.4378	
2008-03-31																																																																																																																																																							369570000.0	543265000.0	173695000.0	173695000.0	235408000.0	79383000.0		134162000.0				47932000.0				54782000.0	221150000.0	254000.0				269082000.0	323864000.0	220974000.0	3749454000.0	1055481000.0	128711000.0	128711000.0	55435000.0	102891000.0	2693973000.0								15684000.0	926770000.0		3253657000.0	670282000.0	16043000.0			368392000.0	2583375000.0					2921840000.0	301890000.0		491169000.0			187063000.0	14971800.0	210543000.0					54782000.0	91547000.0				-46033000.0	-204231000.0					163621000.0	163621000.0											12.3	11.9	0.4	3.3613	
2007-12-31																																																																																																																																																							159687000.0	316670000.0	156983000.0	156983000.0	82748000.0	30800000.0		800684000.0				956600000.0				366327000.0	193182000.0	254000.0				-757976000.0	-391649000.0	198370000.0	3762091000.0	1062786000.0	168432000.0	168432000.0	55435000.0	102891000.0	2699305000.0								15684000.0	60543000.0		3316122000.0	590226000.0	16043000.0			276415000.0	2725896000.0					2971932000.0	284426000.0		445969000.0			187063000.0	14965033.0	57532000.0					366327000.0	31497798.8					-411747000.0					355424000.0	355424000.0											3.9	1.8	2.1	116.6667	
2007-09-30																																																																																																																																																							266127000.0	577263000.0	311136000.0	311136000.0	172597000.0	26600000.0		93530000.0				43680000.0				57517000.0	108290000.0	3000.0				151970000.0	209487000.0	107846000.0	4378995000.0	1358375000.0	309090000.0	309090000.0			3020620000.0									1049285000.0		3815715000.0	494498000.0				246123000.0	3321217000.0					3249489000.0	248375000.0		563280000.0				15517410.0	146590000.0					-47477000.0	82362000.0				12197000.0	-59289000.0																	1.3	1.53	-0.23	-15.0327	
2007-06-30																																																																																																																																																							211479000.0	352465000.0	140986000.0	140986000.0	222483000.0	19200000.0		-11004000.0				199898000.0				359742000.0	185497000.0	41000.0				-494048000.0	-134306000.0	134601000.0	4589937000.0	1112142000.0	197181000.0	197181000.0	43791000.0	101677000.0	3477795000.0								25077000.0	744416000.0		3380255000.0	443916000.0	17573000.0			310266000.0	2936339000.0					3215224000.0	100294000.0		668560000.0			187063000.0	14965033.0	203002000.0					359742000.0	311821000.0				-72331000.0	-36558000.0					221347000.0	221347000.0											5.35	5.57	-0.22	-3.9497	
2007-03-31																																																																																																																																																							217907000.0	361504000.0	143597000.0	143597000.0	180289000.0	16600000.0		37618000.0				53831000.0				-49665000.0	141155000.0	35000.0				212657000.0	162992000.0	158791000.0	4291852000.0	1133481000.0	249619000.0	249619000.0			3158371000.0									883862000.0		3776990000.0	356765000.0				252661000.0	3420225000.0					3314956000.0	104104000.0		514862000.0				14980283.0	174762000.0					-49665000.0	228022000.0					-204585000.0					188310000.0	188310000.0											6.5	6.41	0.09	1.4041	
2006-12-31																																																																																																																																																							242670000.0	382164000.0	139494000.0	139494000.0	149759000.0	18600000.0		92911000.0				55144000.0				57983000.0	144320000.0	130000.0				199464000.0	257447000.0	187924000.0	4389178000.0	1325848000.0	209592000.0	209592000.0	43791000.0	101677000.0	3063330000.0								25077000.0	1116256000.0		3745524000.0	382982000.0	17573000.0			251051000.0	3362542000.0					3308777000.0	131931000.0		643654000.0			187063000.0	14974024.0	166926000.0					-47939000.0	39268000.0				-42050000.0	-150075000.0					112274000.0	112274000.0											4.05	4.09	-0.04	-0.978	
2006-09-30																																																																																																																																																							243550000.0	404694000.0	161144000.0	161144000.0	184679000.0	14300000.0		58871000.0				199898000.0				-51892000.0	139506000.0	-2000.0				287406000.0	235514000.0	98793000.0	4477274000.0	973032000.0	110819000.0	110819000.0			3504242000.0									862213000.0		3239705000.0	427601000.0				301202000.0	2812104000.0					3079674000.0	126399000.0		729486000.0				14965033.0	154840000.0					-51892000.0	104039000.0					-223850000.0					145856000.0	145856000.0											6.6	7.91	-1.31	-16.5613	
2006-06-30																																																																																																																																																							247934000.0	344887000.0	96953000.0	96953000.0	144895000.0	13400000.0		103039000.0				165219000.0				-51795000.0	107219000.0	123000.0				246963000.0	195168000.0	68562000.0	4546981000.0	1097068000.0	113940000.0	113940000.0			3449913000.0									983128000.0		3304839000.0	466095000.0				337176000.0	2838744000.0					3156490000.0	128919000.0		744692000.0				14965033.0	188753000.0					-51795000.0	87038000.0				-137960000.0	-124936000.0					144565000.0	144565000.0											3.95	4.39	-0.44	-10.0228	
2006-03-31																																																																																																																																																							320423000.0	486867000.0	166444000.0	166444000.0	275573000.0	10800000.0		44850000.0				406759000.0				-52206000.0	247672000.0	101000.0				379985000.0	327779000.0	219094000.0	4567531000.0	1189101000.0	188083000.0	188083000.0	44984000.0	92743000.0	3378430000.0								156017000.0	1001018000.0		3297391000.0	427286000.0	9382000.0			287682000.0	2870105000.0					3136614000.0	139604000.0		786217000.0			187063000.0	14965033.0	284961000.0					-52206000.0	66921000.0				-20162000.0	-177249000.0					142712000.0	142712000.0											13.2	12.05	1.15	9.5436	
2005-12-31																																																																																																																																																																																																																																															9.05	8.81	0.24	2.7242	
2005-09-30																																																																																																																																																																																																																																															2.4	2.45	-0.05	-2.0408	
2005-06-30																																																																																																																																																																																																																																															7.35	6.04	1.31	21.6887	
2005-03-31																																																																																																																																																																																																																																															18.7	15.83	2.87	18.1301	
2004-12-31																																																																																																																																																																																																																																															25.0	24.66	0.34	1.3788	
2004-09-30																																																																																																																																																																																																																																															10.75	10.58	0.17	1.6068	
2004-06-30																																																																																																																																																																																																																																															11.5	10.53	0.97	9.2118	
2004-03-31																																																																																																																																																																																																																																															14.8	15.25	-0.45	-2.9508	
2003-12-31																																																																																																																																																																																																																																															4.95	5.23	-0.28	-5.3537	
2003-09-30																																																																																																																																																																																																																																															2.95	1.05	1.9	180.9524	
2003-06-30																																																																																																																																																																																																																																															10.2	7.8	2.4	30.7692	
2003-03-31																																																																																																																																																																																																																																															11.6	10.97	0.63	5.7429	
2002-12-31																																																																																																																																																																																																																																															3.6	3.15	0.45	14.2857	
2002-09-30																																																																																																																																																																																																																																															-1.75	-1.38	-0.37	-26.8116	
2002-06-30																																																																																																																																																																																																																																															-0.15	-0.7	0.55	78.5714	
2002-03-31																																																																																																																																																																																																																																															0.85	-0.1	0.95	950.0	
2001-12-31																																																																																																																																																																																																																																															0.75	0.33	0.42	127.2727	
