	Tax Effect Of Unusual Items	Tax Rate For Calcs	Normalized EBITDA	Total Unusual Items	Total Unusual Items Excluding Goodwill	Net Income From Continuing Operation Net Minority Interest	Reconciled Depreciation	Reconciled Cost Of Revenue	EBITDA	EBIT	Net Interest Income	Interest Expense	Interest Income	Normalized Income	Net Income From Continuing And Discontinued Operation	Total Expenses	Diluted Average Shares	Basic Average Shares	Diluted EPS	Basic EPS	Diluted NI Availto Com Stockholders	Net Income Common Stockholders	Net Income	Minority Interests	Net Income Including Noncontrolling Interests	Net Income Discontinuous Operations	Net Income Continuous Operations	Tax Provision	Pretax Income	Other Income Expense	Other Non Operating Income Expenses	Special Income Charges	Gain On Sale Of Business	Other Special Charges	Write Off	Impairment Of Capital Assets	Restructuring And Mergern Acquisition	Earnings From Equity Interest	Gain On Sale Of Security	Net Non Operating Interest Income Expense	Interest Expense Non Operating	Interest Income Non Operating	Operating Income	Operating Expense	Depreciation Amortization Depletion Income Statement	Depreciation And Amortization In Income Statement	Amortization	Amortization Of Intangibles Income Statement	Research And Development	Selling General And Administration	Gross Profit	Cost Of Revenue	Total Revenue	Operating Revenue	Ordinary Shares Number	Share Issued	Net Debt	Total Debt	Tangible Book Value	Invested Capital	Working Capital	Net Tangible Assets	Capital Lease Obligations	Common Stock Equity	Total Capitalization	Total Equity Gross Minority Interest	Minority Interest	Stockholders Equity	Gains Losses Not Affecting Retained Earnings	Other Equity Adjustments	Treasury Stock	Retained Earnings	Additional Paid In Capital	Capital Stock	Common Stock	Total Liabilities Net Minority Interest	Total Non Current Liabilities Net Minority Interest	Other Non Current Liabilities	Employee Benefits	Non Current Pension And Other Postretirement Benefit Plans	Non Current Deferred Liabilities	Non Current Deferred Taxes Liabilities	Long Term Debt And Capital Lease Obligation	Long Term Capital Lease Obligation	Long Term Debt	Current Liabilities	Other Current Liabilities	Current Debt And Capital Lease Obligation	Current Debt	Payables And Accrued Expenses	Current Accrued Expenses	Payables	Total Tax Payable	Income Tax Payable	Accounts Payable	Total Assets	Total Non Current Assets	Other Non Current Assets	Non Current Deferred Assets	Non Current Deferred Taxes Assets	Investments And Advances	Other Investments	Goodwill And Other Intangible Assets	Other Intangible Assets	Goodwill	Net PPE	Accumulated Depreciation	Gross PPE	Construction In Progress	Machinery Furniture Equipment	Buildings And Improvements	Land And Improvements	Properties	Current Assets	Other Current Assets	Assets Held For Sale Current	Restricted Cash	Inventory	Finished Goods	Work In Process	Raw Materials	Receivables	Other Receivables	Taxes Receivable	Accounts Receivable	Allowance For Doubtful Accounts Receivable	Gross Accounts Receivable	Cash Cash Equivalents And Short Term Investments	Cash And Cash Equivalents	Free Cash Flow	Repurchase Of Capital Stock	Repayment Of Debt	Issuance Of Capital Stock	Capital Expenditure	End Cash Position	Beginning Cash Position	Effect Of Exchange Rate Changes	Changes In Cash	Cash Flow From Discontinued Operation	Financing Cash Flow	Cash From Discontinued Financing Activities	Cash Flow From Continuing Financing Activities	Net Other Financing Charges	Cash Dividends Paid	Common Stock Dividend Paid	Net Common Stock Issuance	Common Stock Payments	Common Stock Issuance	Net Issuance Payments Of Debt	Net Short Term Debt Issuance	Net Long Term Debt Issuance	Long Term Debt Payments	Investing Cash Flow	Cash From Discontinued Investing Activities	Cash Flow From Continuing Investing Activities	Net Other Investing Changes	Net Investment Purchase And Sale	Sale Of Investment	Purchase Of Investment	Net PPE Purchase And Sale	Sale Of PPE	Purchase Of PPE	Capital Expenditure Reported	Operating Cash Flow	Cash From Discontinued Operating Activities	Cash Flow From Continuing Operating Activities	Change In Working Capital	Change In Other Working Capital	Change In Payables And Accrued Expense	Change In Payable	Change In Account Payable	Change In Inventory	Change In Receivables	Other Non Cash Items	Stock Based Compensation	Asset Impairment Charge	Deferred Tax	Deferred Income Tax	Depreciation Amortization Depletion	Depreciation And Amortization	Operating Gains Losses	Pension And Employee Benefit Expense	Earnings Losses From Equity Investments	Gain Loss On Investment Securities	Net Income From Continuing Operations	reportedCurrency	grossProfit	totalRevenue	costOfRevenue	costofGoodsAndServicesSold	operatingIncome	sellingGeneralAndAdministrative	researchAndDevelopment	operatingExpenses	investmentIncomeNet	netInterestIncome	interestIncome	interestExpense	nonInterestIncome	otherNonOperatingIncome	depreciation	depreciationAndAmortization	incomeBeforeTax	incomeTaxExpense	interestAndDebtExpense	netIncomeFromContinuingOperations	comprehensiveIncomeNetOfTax	ebit	ebitda	netIncome	totalAssets	totalCurrentAssets	cashAndCashEquivalentsAtCarryingValue	cashAndShortTermInvestments	inventory	currentNetReceivables	totalNonCurrentAssets	propertyPlantEquipment	accumulatedDepreciationAmortizationPPE	intangibleAssets	intangibleAssetsExcludingGoodwill	goodwill	investments	longTermInvestments	shortTermInvestments	otherCurrentAssets	otherNonCurrentAssets	totalLiabilities	totalCurrentLiabilities	currentAccountsPayable	deferredRevenue	currentDebt	shortTermDebt	totalNonCurrentLiabilities	capitalLeaseObligations	longTermDebt	currentLongTermDebt	longTermDebtNoncurrent	shortLongTermDebtTotal	otherCurrentLiabilities	otherNonCurrentLiabilities	totalShareholderEquity	treasuryStock	retainedEarnings	commonStock	commonStockSharesOutstanding
2012-06-30																																																																																																																																																																																											2313000000	14513000000	12200000000	12200000000	1111000000	674000000	406000000	2313000000				312000000				674000000	984000000	244000000		0.0		1296000000	1970000000	734000000	68842000000	23198000000	4128000000	4128000000	8380000000	9887000000	45644000000	13342000000.0		4898000000	4898000000	12896000000			2000000.0	801000000		44471000000	12629000000	6848000000			2353000000.0	31842000000		11254000000			20657000000	3053000000		23121000000	-6727000000.0	19473000000	2996000000	130733202
2012-03-31																																																																																																																																																																																											2434000000	14719000000	12285000000	12285000000	1200000000	707000000	405000000	2434000000				329000000				679000000	706000000	186000000		0.0		1035000000	1714000000	497000000	69598000000	23911000000	3608000000	3608000000	8882000000	10506000000	45687000000	13395000000.0		4983000000	4983000000	12973000000			2000000.0	913000000		45400000000	13465000000	7313000000			2353000000.0	31935000000		11232000000			23731000000	3285000000		23026000000	-6727000000.0	19203000000	2988000000	129855426
2011-12-31																																																																																																																																																																																											1664000000	14097000000	12433000000	12433000000	406000000	702000000	433000000	1664000000				331000000				741000000	354000000	271000000		0.0		685000000	1426000000	65000000	69224000000	23422000000	5444000000	5444000000	7577000000	9626000000	45802000000	13412000000.0		5061000000	5061000000	12930000000			2000000.0	773000000		45933000000	13634000000	4778000000			3290000000.0	32299000000		11736000000			21600000000	5184000000		22281000000	-6727000000.0	19087000000	2961000000	128810982
2011-09-30																																																																																																																																																																																											2181000000	15109000000	12928000000	12928000000	963000000	691000000	402000000	2181000000				305000000				714000000	1089000000	186000000		0.0		1394000000	2108000000	900000000	66951000000	21754000000	2206000000	2206000000	8416000000	10116000000	45197000000	13235000000.0		5212000000	5212000000	12994000000			229000000.0	1016000000		41810000000	12887000000	6689000000			2561000000.0	28923000000		12200000000			19603000000	3210000000		24152000000	-6727000000.0	19400000000	2954000000	128988760
2011-06-30																																																																																																																																																																																											2495000000	16046000000	13551000000	13551000000	1264000000	695000000	411000000	2495000000				328000000				697000000	1317000000	240000000		0.0		1645000000	2342000000	1067000000	68447000000	22699000000	2223000000	2223000000	8739000000	10751000000	45748000000	13185000000.0		5389000000	5389000000	13079000000			-341000000.0	986000000		43408000000	12429000000	7198000000			1577000000.0	30979000000		12460000000			20088000000	3299000000		24185000000	-6727000000.0	18877000000	2953000000	128988760
2011-03-31																																																																																																																																																																																											2616000000	14733000000	12117000000	12117000000	1393000000	700000000	400000000	2616000000				377000000				731000000	841000000	120000000		0.0		1218000000	1949000000	710000000	68442000000	22983000000	3562000000	3562000000	8132000000	10353000000	45459000000	11377000000.0		5453000000	5453000000	13048000000			3017000000.0	936000000		44605000000	12984000000	7099000000			2316000000.0	31621000000		10114000000			21394000000	3137000000		23021000000	-6727000000.0	18187000000	2939000000	129022093
2010-12-31																																																																																																																																																																																											1953000000	13771000000	11818000000	11818000000	719000000	1296000000	443000000	1953000000				368000000				755000000	646000000	133000000		0.0		1014000000	1769000000	511000000	69588000000	23781000000	7039000000	7039000000	7087000000	9044000000	45807000000	11339000000.0		5530000000	5530000000	12967000000			2538000000.0	611000000		46946000000	13896000000	4356000000			3222000000.0	33050000000		10137000000			23827000000	5969000000		21839000000	-6727000000.0	17736000000	2931000000	128055380
2010-09-30																																																																																																																																																																																											2027000000	12868000000	10841000000	10841000000	860000000	640000000	403000000	2027000000				362000000				716000000	711000000	114000000		0.0		1073000000	1789000000	597000000	66001000000	20669000000	3223000000	3223000000	7283000000	9574000000	45332000000	10976000000.0		5625000000	5625000000	13000000000			4000000.0	585000000		43397000000	13159000000	6003000000			3101000000.0	30238000000		10175000000			21131000000	3764000000		21906000000	-6727000000.0	17478000000	2919000000	127277650
2010-06-30																																																																																																																																																																																											2038000000	13618000000	11580000000	11580000000	858000000	648000000	407000000	2038000000				367000000				734000000	790000000	131000000		0.0		1157000000	1891000000	651000000	64594000000	20080000000	3068000000	3068000000	6933000000	9180000000	44514000000	10910000000.0		5608000000	5608000000	12863000000			6000000.0	893000000		43427000000	13347000000	6368000000			3335000000.0	30080000000		9577000000			21443000000	3363000000		20490000000	-6727000000.0	17140000000	2917000000	126844317
2010-03-31																																																																																																																																																																																											1876000000	13417000000	11541000000	11541000000	679000000	662000000	407000000	1876000000				376000000				757000000	655000000	103000000		0.0		1031000000	1788000000	551000000	67546000000	21311000000	2923000000	2923000000	7020000000	10455000000	46235000000	10960000000.0		5784000000	5784000000	13129000000			1599000000.0	913000000		46454000000	14905000000	6734000000			4367000000.0	31549000000		9543000000			23202000000	3480000000		20417000000	-6727000000.0	16746000000	2908000000	126433207
2009-12-31																																																																																																																																																																																											1606000000	12466000000	10860000000	10860000000	332000000	1245000000	419000000	1606000000				404000000				804000000	150000000	-28000000				554000000	1358000000	172000000	65937000000	19560000000	2846000000	2846000000	6847000000	9195000000	46377000000	11094000000.0		5966000000	5966000000	13114000000			2116000000.0	672000000		44813000000	13106000000	3987000000			3221000000.0	31789000000		9528000000			22373000000	5712000000		20555000000	-6727000000.0	16704000000	2906000000	120810990
2009-09-30																																																																																																																																																																																											1660000000	12046000000	10386000000	10386000000	469000000	683000000	400000000	1660000000				488000000				752000000	1003000000	204000000				1491000000	2243000000	796000000	67030000000	19027000000	2581000000	2581000000	6970000000	8787000000	48003000000	11080000000.0		5254000000	5254000000	13327000000			906000000.0	689000000		45785000000	12334000000	5705000000			3054000000.0	33451000000		7545000000			23685000000	3440000000		20729000000	-6727000000.0	16785000000	2906000000	124522098
2009-06-30																																																																																																																																																																																											1558000000	11322000000	9764000000	9764000000	402000000	663000000	381000000	1558000000				525000000				763000000	-683000000	-248000000				-158000000	605000000	-344000000	66168000000	18383000000	2648000000	2648000000	6684000000	8603000000	47785000000	11124000000.0		5296000000	5296000000	13248000000			456000000.0	448000000		45945000000	11127000000	5432000000			1785000000.0	34818000000		7556000000			23768000000	3785000000		19719000000	-6727000000.0	16242000000	2906000000	115055440
2009-03-31																																																																																																																																																																																											903000000	9041000000	8138000000	8138000000	146000000	444000000	292000000	903000000				154000000				508000000	-1000000	-25000000				153000000	661000000	24000000	44159000000	15606000000	2956000000	2956000000	5916000000	6533000000	28553000000	11164000000.0		813000000	813000000	3392000000			21000000.0	201000000		30980000000	9752000000	2885000000			2067000000.0	21228000000		8490000000			12964000000	4495000000		13116000000	-6727000000.0	16896000000	2453000000	103555452
2008-12-31																																																																																																																																																																																											406000000	10899000000	10493000000	10493000000	-386000000	1142000000	310000000	406000000				192000000				555000000	-1600000000	-60000000				-541000000	14000000	-1552000000	45474000000	16060000000	2800000000	2800000000	6036000000	6856000000	29414000000	11154000000.0		829000000	829000000	3394000000			59000000.0	368000000		31963000000	13108000000	5533000000			3814000000.0	18855000000		7638000000			11856000000	3124000000		13511000000	-6727000000.0	17013000000	2453000000	104055452
2008-09-30																																																																																																																																																																																											1422000000	15371000000	13949000000	13949000000	570000000	498000000	334000000	1422000000				160000000				538000000	620000000	180000000				780000000	1318000000	428000000	50165000000	19676000000	2261000000	2261000000	7542000000	9601000000	30489000000	11083000000.0		808000000	808000000	3637000000			11000000.0	261000000		30967000000	14149000000	6445000000			4150000000.0	16818000000		7402000000			12407000000	3554000000		19128000000	-6727000000.0	18954000000	2453000000	103777674
2008-06-30																																																																																																																																																																																											1728000000	16349000000	14621000000	14621000000	854000000	515000000	335000000	1728000000				151000000				569000000	1016000000	240000000				1167000000	1736000000	762000000	52153000000	21331000000	2111000000	2111000000	7690000000	11356000000	30822000000	10922000000.0		794000000	794000000	3617000000			2000000.0	172000000		31783000000	14387000000	7837000000			3276000000.0	17396000000		5361000000			11392000000	3274000000		20133000000	-6727000000.0	18919000000	2453000000	104377673
2008-03-31																																																																																																																																																																																											1916000000	14824000000	12908000000	12908000000	1065000000	498000000	331000000	1916000000				145000000				574000000	1264000000	299000000				1409000000	1983000000	941000000	50657000000	20136000000	1673000000	1673000000	7688000000	10540000000	30521000000	10905000000.0		785000000	785000000	3608000000			1000000.0	234000000		30048000000	13404000000	6963000000			2941000000.0	16644000000		5784000000			10333000000	3500000000		20179000000	-6727000000.0	18542000000	2453000000	105733227
2007-12-31																																																																																																																																																																																											1694000000	14227000000	12533000000	12533000000	826000000	1221000000	354000000	1694000000				122000000				589000000	470000000	-27000000				826000000	1415000000	472000000	48801000000	18654000000	1736000000	1736000000	6885000000	9684000000	30147000000	10860000000.0		781000000	781000000	3572000000			1000000.0	348000000		28998000000	12445000000	6536000000			2134000000.0	16553000000		5955000000			9715000000	3047000000		19389000000	-6727000000.0	18004000000	2453000000	107061004
2007-09-30																																																																																																																																																																																											1725000000	13589000000	11864000000	11864000000	898000000	476000000	329000000	1725000000				125000000				560000000	1085000000	659000000				898000000	1458000000	403000000	47669000000	18253000000	1945000000	1945000000	6772000000	9427000000	29416000000	10568000000.0		752000000	752000000	3519000000			1000000.0	108000000		29201000000	11534000000	6239000000			1678000000.0	17667000000		5367000000			9697000000	3617000000		18068000000	-6727000000.0	17941000000	2453000000	106833226
2007-06-30																																																																																																																																																																																											1867000000	13265000000	11398000000	11398000000	1052000000	477000000	320000000	1867000000				119000000				533000000	1341000000	277000000				1052000000	1585000000	1039000000	46915000000	18029000000	1976000000	1976000000	6497000000	9304000000	28886000000	10478000000.0		511000000	511000000	3686000000			79000000.0	173000000		28696000000	11297000000	6056000000			1678000000.0	17399000000		5664000000			9644000000	3563000000		17830000000	-6727000000.0	17940000000	2453000000	107555448
2007-03-31																																																																																																																																																																																											1827000000	12432000000	10605000000	10605000000	1096000000	418000000	302000000	1827000000				109000000				508000000	1333000000	335000000				1096000000	1604000000	973000000	46030000000	17824000000	2377000000	2377000000	6106000000	8775000000	28206000000	10425000000.0		457000000	457000000	3250000000			188000000.0	378000000		28327000000	10905000000	5402000000			1674000000.0	17422000000		6010000000			9649000000	3829000000		17325000000	-6727000000.0	17306000000	2453000000	108433225
2006-12-31																																																																																																																																																																																											1737000000	12236000000	10499000000	10499000000	963000000	1165000000	308000000	1737000000				124000000				530000000	1323000000	324000000				963000000	1493000000	975000000	45581000000	17209000000	2757000000	2757000000	6058000000	8048000000	28372000000	10498000000.0		457000000	457000000	3242000000			153000000.0	193000000		28151000000	10601000000	5674000000			1510000000.0	17550000000		6013000000			9546000000	3417000000		17065000000	-6727000000.0	16987000000	2453000000	108016613
2006-09-30																																																																																																																																																																																											1759000000	12359000000	10600000000	10600000000	1035000000	420000000	291000000	1759000000				123000000				538000000	670000000	137000000				1035000000	1573000000	512000000	46577000000	17880000000	3134000000	3134000000	6118000000	8324000000	28697000000	10406000000.0		441000000	441000000	3230000000			35000000.0	269000000		29431000000	10088000000	5352000000			1009000000.0	19343000000		5509000000			10208000000	3727000000		16792000000	-6727000000.0	16371000000	2453000000	107766559
2006-06-30																																																																																																																																																																																											1885000000	12509000000	10624000000	10624000000	1184000000	402000000	287000000	1885000000				128000000				512000000	1356000000	310000000				1184000000	1696000000	1023000000	46143000000	17398000000	3162000000	3162000000	5849000000	8044000000	28745000000	10379000000.0		440000000	440000000	3140000000			36000000.0	307000000		28985000000	9602000000	5266000000			969000000.0	19383000000		6123000000			10217000000	3367000000		16812000000	-6727000000.0	16226000000	2453000000	108399891
